SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
20,0.575,0.525,0.55,0.5,0.55,0.5,0.5,0.5
50,0.54,0.51,0.52,0.5,0.52,0.5,0.5,0.5
100,0.52,0.505,0.51,0.505,0.505,0.505,0.5,0.5
250,0.518,0.50792,0.506,0.502,0.506,0.502,0.502,0.5
500,0.514,0.506,0.504,0.502,0.504,0.501,0.502,0.5
