Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,9,0.5,0.5,0.5,0.5,0,1,0.5,0.5
1,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,11,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,15,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,16,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,2,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,3,0.525,0.525,0.45,0.55,0.5,0.5,0.5,0.5
20,4,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,5,0.425,0.575,0.5,0.5,0.5,0.5,0.5,0.5
20,6,0.525,0.525,0.475,0.525,0.5,0.5,0.5,0.5
20,7,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,8,0.5,0.5,0.475,0.525,0.5,0.5,0.5,0.5
20,9,0.475,0.525,0.475,0.525,0.45,0.55,0.5,0.5
20,10,0.44875,0.55125,0.5,0.5,0.5,0.5,0.5,0.5
20,11,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,13,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,14,0.5,0.5,0.475,0.525,0.5,0.5,0.5,0.5
20,15,0.49875,0.50125,0.5,0.5,0.5,0.5,0.5,0.5
20,16,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,18,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,19,0.525,0.525,0.5,0.5,0.5,0.5,0.5,0.5
20,20,0.475,0.525,0.5,0.5,0.5,0.5,0.5,0.5
50,2,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5
50,3,0.53,0.53,0.48,0.52,0.5,0.5,0.5,0.5
50,4,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.5
50,5,0.46,0.54,0.49,0.51,0.5,0.5,0.5,0.5
50,6,0.51,0.51,0.49,0.51,0.5,0.5,0.5,0.5
50,7,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.5
50,8,0.5,0.5,0.49,0.51,0.5,0.5,0.5,0.5
50,9,0.5,0.5,0.49,0.51,0.48,0.52,0.5,0.5
50,10,0.4694,0.5306,0.5,0.5,0.5,0.5,0.5,0.5
50,11,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
50,12,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5
50,13,0.53,0.53,0.5,0.5,0.49,0.51,0.5,0.5
50,14,0.5,0.5,0.49,0.51,0.5,0.5,0.5,0.5
50,15,0.5094,0.5094,0.5,0.5,0.5,0.5,0.5,0.5
50,16,0.52,0.52,0.49,0.51,0.5,0.5,0.5,0.5
