 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 2 0
 3 2 0 7 0
 4 3 1 9 0
 5 6 1 11 0
 6 7 1 12 0
 7 9 1 12 0
 8 10 1 14 0
 9 12 1 16 0
 10 13 1 17 0
 11 15 1 18 0
 12 16 1 20 0
 13 16 1 21 0
 14 19 1 23 0
 15 19 1 25 0
 16 19 1 27 0
 17 19 1 28 0
 18 20 1 30 0
 19 20 1 30 0
 20 20 1 31 0
 21 21 1 32 0
 22 21 1 33 0
 23 21 1 34 0
 24 21 1 37 0
 25 21 1 38 0
 26 21 1 38 0
 27 21 1 38 1
 28 21 1 39 1
 29 21 1 40 1
 30 21 1 42 1
 31 22 1 44 1
 32 22 1 45 1
 33 22 1 45 1
 34 23 1 46 1
 35 23 1 46 1
 36 24 1 46 1
 37 25 1 46 1
 38 25 1 46 1
 39 26 1 46 1
 40 26 1 46 1
 41 26 1 46 1
 42 26 1 46 1
 43 27 1 46 1
 44 28 1 46 1
 45 29 1 47 1
 46 31 1 47 1
 47 31 1 47 1
 48 33 1 47 1
 49 33 1 47 1
 50 33 1 47 1
 51 35 1 47 1
 52 35 1 47 1
 53 35 1 47 1
 54 35 1 47 1
 55 35 1 47 1
 56 35 1 47 1
 57 35 1 47 1
 58 36 1 47 1
 59 36 1 48 1
 60 37 1 48 1
 61 38 1 48 1
 62 38 1 48 1
 63 38 1 48 1
 64 38 1 48 1
 65 38 1 48 1
 66 38 1 48 1
 67 38 1 48 1
 68 38 1 49 1
 69 38 1 50 1
 70 38 1 52 1
 71 39 1 53 1
 72 39 1 53 1
 73 39 1 53 1
 74 39 2 53 1
 75 39 2 54 1
 76 40 2 54 1
 77 40 2 54 1
 78 40 3 54 1
 79 40 3 54 1
 80 40 3 54 1
 81 40 3 54 1
 82 42 3 54 1
 83 42 3 54 1
 84 42 3 55 1
 85 42 3 56 1
 86 42 3 56 1
 87 42 3 56 1
 88 42 3 56 1
 89 42 3 56 1
 90 42 3 56 1
 91 42 3 56 1
 92 42 3 56 1
 93 42 3 57 1
 94 42 3 57 1
 95 43 3 57 1
 96 43 3 57 1
 97 44 3 57 1
 98 44 3 57 1
 99 44 3 57 1
 100 44 3 57 1
