 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 5 0 1 0
 3 7 1 3 0
 4 7 2 6 0
 5 7 2 13 0
 6 7 2 20 1
 7 9 2 27 2
 8 9 2 33 2
 9 9 2 39 2
 10 10 2 45 2
 11 12 2 48 3
 12 13 2 51 3
 13 14 2 55 4
 14 14 2 57 5
 15 15 2 61 5
 16 15 2 61 5
 17 15 2 61 6
 18 17 2 61 7
 19 17 2 62 7
 20 20 2 62 7
 21 21 2 62 7
 22 21 2 62 7
 23 22 3 62 7
 24 23 3 63 7
 25 23 3 65 7
 26 24 3 66 7
 27 24 3 67 7
 28 26 3 68 7
 29 26 3 68 7
 30 26 3 68 8
 31 26 3 70 9
 32 29 3 71 10
 33 29 3 72 10
 34 30 3 73 10
 35 31 3 74 10
 36 31 3 77 10
 37 32 3 80 10
 38 33 3 82 10
 39 33 3 84 10
 40 34 3 85 11
 41 34 3 86 12
 42 35 3 87 12
 43 36 3 88 12
 44 36 3 88 12
 45 36 3 88 12
 46 37 3 90 13
 47 37 3 91 14
 48 37 3 91 15
 49 38 3 92 16
 50 38 3 94 16
 51 39 3 96 16
 52 40 3 98 16
 53 41 3 100 16
 54 42 3 101 16
 55 42 3 102 16
 56 46 3 103 16
 57 47 3 103 16
 58 48 3 103 16
 59 48 3 103 17
 60 50 3 104 17
 61 51 3 105 17
 62 51 3 108 18
 63 53 3 110 19
 64 54 3 110 20
 65 58 3 112 21
 66 60 3 113 21
 67 61 3 113 21
 68 62 3 114 21
 69 64 3 115 22
 70 64 3 116 22
 71 64 3 116 23
 72 65 3 116 23
 73 65 3 118 23
 74 66 3 119 24
 75 66 3 119 25
 76 68 3 120 25
 77 68 3 122 25
 78 69 3 122 25
 79 69 3 122 25
 80 69 3 122 25
 81 71 4 122 25
 82 73 4 122 25
 83 74 4 122 25
 84 74 4 122 25
 85 74 4 122 25
 86 75 4 122 25
 87 77 4 124 25
 88 79 4 124 25
 89 80 4 124 25
 90 80 4 124 25
 91 80 4 124 25
 92 81 4 125 25
 93 81 4 125 25
 94 81 4 125 25
 95 82 4 126 25
 96 83 4 127 25
 97 83 4 127 25
 98 83 4 128 25
 99 83 4 128 25
 100 83 4 128 25
