 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 4 0 1 0
 3 8 0 5 1
 4 11 0 12 2
 5 13 0 15 3
 6 15 0 19 4
 7 20 0 28 5
 8 21 0 34 5
 9 22 0 40 5
 10 22 1 45 5
 11 24 1 48 5
 12 26 1 49 5
 13 26 1 52 5
 14 27 2 55 5
 15 28 2 58 5
 16 29 2 59 5
 17 29 2 61 6
 18 30 2 63 7
 19 32 2 66 8
 20 34 2 70 8
 21 35 2 72 8
 22 35 3 73 8
 23 35 3 74 9
 24 36 3 75 9
 25 37 3 77 9
 26 39 3 79 9
 27 40 3 80 9
 28 41 3 81 9
 29 42 3 81 9
 30 42 3 82 9
 31 48 3 83 9
 32 49 3 84 9
 33 52 3 85 9
 34 52 3 85 9
 35 54 3 87 9
 36 54 3 89 9
 37 54 3 92 9
 38 55 3 97 9
 39 55 3 99 9
 40 56 3 101 9
 41 56 3 101 9
 42 58 3 102 9
 43 58 3 104 9
 44 58 3 107 9
 45 59 3 109 9
 46 59 3 112 9
 47 60 3 113 9
 48 60 3 113 10
 49 60 3 114 10
 50 60 3 115 10
 51 60 3 119 11
 52 62 3 121 11
 53 62 3 124 11
 54 63 3 125 11
 55 64 3 126 11
 56 65 3 126 11
 57 65 3 127 11
 58 66 3 128 11
 59 66 3 128 11
 60 66 3 128 11
 61 66 4 128 11
 62 66 4 129 11
 63 68 4 130 11
 64 70 4 131 11
 65 70 4 132 11
 66 70 4 133 11
 67 71 4 135 11
 68 71 4 136 11
 69 71 4 138 11
 70 71 4 142 11
 71 71 4 144 11
 72 71 4 147 11
 73 71 4 148 11
 74 71 4 148 11
 75 71 4 149 11
 76 71 4 149 11
 77 71 4 149 11
 78 71 4 149 11
 79 71 4 149 11
 80 71 4 149 11
 81 72 4 149 11
 82 72 4 149 11
 83 72 4 149 11
 84 73 4 149 11
 85 73 4 149 11
 86 74 4 149 11
 87 75 4 149 11
 88 75 4 149 11
 89 77 4 149 11
 90 79 4 149 11
 91 79 4 150 11
 92 79 4 151 11
 93 79 4 151 11
 94 80 4 151 11
 95 80 4 151 11
 96 80 4 151 11
 97 80 4 151 11
 98 80 4 152 11
 99 80 4 152 11
 100 80 4 153 11
