 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 4 0 1 1
 3 5 0 4 2
 4 6 0 7 3
 5 7 1 12 4
 6 7 1 17 5
 7 7 1 23 6
 8 8 1 28 7
 9 9 1 32 8
 10 9 1 36 8
 11 10 1 42 8
 12 11 1 47 8
 13 12 2 50 8
 14 14 2 53 8
 15 14 2 57 8
 16 15 3 59 9
 17 16 3 61 9
 18 16 3 63 9
 19 17 3 64 9
 20 19 3 65 9
 21 19 3 67 9
 22 20 4 69 9
 23 21 4 71 10
 24 22 4 72 10
 25 22 4 72 10
 26 23 4 72 10
 27 24 4 74 10
 28 24 4 77 10
 29 25 4 80 10
 30 26 4 84 10
 31 26 4 87 10
 32 27 4 90 10
 33 29 4 93 10
 34 29 5 94 10
 35 30 5 95 10
 36 32 5 97 10
 37 32 5 101 10
 38 32 5 105 10
 39 32 5 107 10
 40 33 5 108 10
 41 33 5 109 10
 42 34 6 109 10
 43 34 6 109 10
 44 35 6 109 10
 45 35 6 110 10
 46 36 6 110 10
 47 38 6 111 10
 48 39 6 113 10
 49 41 6 114 10
 50 41 6 114 10
 51 41 6 115 10
 52 42 6 115 10
 53 43 6 116 10
 54 43 6 118 11
 55 44 6 118 11
 56 45 6 120 11
 57 45 6 123 11
 58 46 6 123 11
 59 46 6 123 11
 60 46 6 124 11
 61 46 6 125 11
 62 46 6 126 12
 63 46 6 127 12
 64 47 6 129 12
 65 48 6 130 12
 66 48 6 131 12
 67 48 6 131 12
 68 49 6 131 12
 69 50 6 131 12
 70 50 6 131 12
 71 51 6 131 12
 72 51 6 131 12
 73 51 6 131 12
 74 51 6 132 12
 75 51 6 133 12
 76 51 6 133 12
 77 52 6 133 12
 78 53 6 133 13
 79 53 6 133 13
 80 53 6 133 13
 81 53 6 133 13
 82 53 6 134 14
 83 53 6 134 14
 84 53 6 135 14
 85 53 6 136 14
 86 53 6 136 14
 87 53 6 136 14
 88 53 6 136 14
 89 53 6 136 14
 90 53 6 136 14
 91 53 6 136 14
 92 53 6 136 14
 93 53 6 136 14
 94 53 6 136 14
 95 53 6 136 14
 96 53 6 136 14
 97 55 6 136 14
 98 55 6 136 14
 99 55 6 136 14
 100 55 6 136 14
