 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 0 2 0
 3 4 0 6 0
 4 4 0 9 0
 5 10 0 12 0
 6 11 0 15 0
 7 14 0 21 1
 8 16 0 26 1
 9 18 1 32 1
 10 23 1 37 1
 11 23 1 41 1
 12 24 1 47 2
 13 24 1 52 3
 14 24 2 57 4
 15 25 2 62 5
 16 26 2 65 6
 17 26 2 67 6
 18 27 2 69 6
 19 29 2 70 7
 20 29 2 71 7
 21 29 2 71 7
 22 30 2 72 8
 23 32 2 74 9
 24 33 2 76 9
 25 36 2 80 9
 26 36 2 82 9
 27 38 2 82 9
 28 39 2 83 9
 29 39 2 83 9
 30 40 2 83 9
 31 41 3 83 9
 32 41 3 84 9
 33 41 3 84 9
 34 41 3 84 9
 35 41 3 85 9
 36 43 3 85 9
 37 43 3 87 9
 38 43 3 88 9
 39 43 3 90 9
 40 45 4 92 9
 41 45 4 93 9
 42 45 4 95 9
 43 45 4 96 9
 44 47 4 96 9
 45 47 4 97 9
 46 47 4 98 9
 47 47 4 100 9
 48 47 4 102 9
 49 48 4 103 9
 50 49 4 103 9
 51 49 4 105 9
 52 49 4 108 9
 53 49 4 112 9
 54 49 4 115 9
 55 49 4 118 9
 56 49 4 120 9
 57 49 4 122 9
 58 50 4 123 9
 59 50 4 124 9
 60 50 4 124 9
 61 50 4 125 9
 62 50 4 126 9
 63 50 4 127 9
 64 50 4 128 9
 65 51 4 128 9
 66 51 4 129 9
 67 51 4 130 9
 68 51 4 131 9
 69 51 4 133 9
 70 51 4 135 9
 71 52 4 137 9
 72 52 4 139 9
 73 53 4 140 9
 74 53 4 142 10
 75 53 4 143 10
 76 54 4 143 10
 77 54 4 143 10
 78 54 4 143 10
 79 54 4 144 10
 80 54 4 146 10
 81 54 4 148 10
 82 54 4 150 10
 83 54 4 151 10
 84 54 4 152 10
 85 54 4 154 10
 86 55 4 154 11
 87 55 4 154 11
 88 55 4 154 11
 89 55 4 154 11
 90 56 4 154 12
 91 57 4 154 13
 92 57 4 154 13
 93 57 4 154 13
 94 57 4 154 13
 95 57 4 154 13
 96 57 4 155 13
 97 57 4 156 13
 98 57 4 156 13
 99 57 4 156 13
 100 57 4 156 13
