 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 0 3 0
 3 6 0 7 0
 4 7 0 14 0
 5 10 1 20 0
 6 11 1 25 0
 7 13 1 31 0
 8 13 1 35 0
 9 14 1 37 0
 10 16 2 41 0
 11 17 2 43 0
 12 18 3 45 0
 13 20 4 47 0
 14 22 4 49 0
 15 22 4 52 0
 16 23 4 57 0
 17 23 5 62 0
 18 23 5 67 0
 19 25 5 71 0
 20 25 5 75 0
 21 25 5 79 0
 22 25 5 83 0
 23 25 5 86 0
 24 26 5 88 0
 25 29 5 91 0
 26 30 5 93 0
 27 31 7 95 0
 28 31 7 96 0
 29 33 7 97 0
 30 33 7 98 0
 31 33 7 98 0
 32 34 7 98 0
 33 35 8 99 0
 34 35 9 99 0
 35 35 9 100 0
 36 37 9 102 0
 37 38 10 103 0
 38 39 10 104 0
 39 40 10 106 0
 40 40 10 108 0
 41 40 10 108 0
 42 40 10 109 0
 43 40 10 110 0
 44 43 10 111 0
 45 44 10 111 0
 46 45 10 113 0
 47 47 10 114 0
 48 48 10 114 0
 49 48 10 115 0
 50 49 10 115 0
 51 49 10 116 0
 52 49 10 117 0
 53 49 10 117 0
 54 49 10 118 0
 55 50 10 118 0
 56 51 10 118 0
 57 51 10 118 0
 58 51 10 118 0
 59 51 10 118 0
 60 52 10 119 0
 61 53 10 120 0
 62 53 10 120 0
 63 53 10 121 0
 64 53 10 122 0
 65 53 10 123 0
 66 53 10 123 0
 67 53 10 124 0
 68 53 10 124 0
 69 54 10 124 0
 70 54 10 124 0
 71 54 10 124 0
 72 54 10 126 0
 73 55 10 128 0
 74 56 10 129 0
 75 56 10 129 0
 76 56 10 128 0
 77 57 10 129 0
 78 58 10 129 0
 79 58 10 129 0
 80 58 10 129 0
 81 58 10 129 0
 82 58 10 132 0
 83 60 10 132 0
 84 60 10 132 0
 85 60 10 133 0
 86 60 10 135 0
 87 60 10 136 0
 88 62 10 136 0
 89 62 10 136 0
 90 62 10 136 0
 91 62 10 137 0
 92 62 10 137 0
 93 63 10 139 0
 94 63 10 141 0
 95 64 10 141 0
 96 64 10 141 0
 97 64 10 142 0
 98 64 10 143 0
 99 64 10 144 0
 100 64 10 145 0
