 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 0 1 0
 3 6 0 4 0
 4 7 0 7 0
 5 8 0 12 0
 6 12 0 15 0
 7 14 0 18 0
 8 14 0 21 0
 9 16 1 24 0
 10 18 1 28 0
 11 20 1 31 0
 12 21 2 35 0
 13 22 2 40 0
 14 23 2 44 0
 15 24 2 48 1
 16 24 2 50 2
 17 26 2 52 3
 18 28 2 55 4
 19 30 2 57 5
 20 30 2 58 5
 21 32 3 60 5
 22 33 4 63 6
 23 35 4 64 7
 24 35 5 65 8
 25 38 5 65 9
 26 40 5 65 10
 27 40 5 65 11
 28 41 5 65 12
 29 42 5 65 13
 30 45 5 66 14
 31 47 5 67 14
 32 48 5 68 14
 33 48 5 70 14
 34 48 5 72 15
 35 49 5 73 15
 36 51 5 75 15
 37 52 5 77 15
 38 56 5 79 15
 39 56 5 81 16
 40 58 5 83 17
 41 60 5 85 18
 42 60 5 87 19
 43 62 5 89 19
 44 64 5 91 19
 45 65 5 93 19
 46 66 5 95 19
 47 66 5 98 19
 48 67 5 99 19
 49 68 5 100 19
 50 69 5 101 19
 51 70 5 101 20
 52 70 5 101 21
 53 71 5 101 21
 54 71 5 101 21
 55 73 5 102 21
 56 74 5 102 21
 57 74 5 103 21
 58 75 5 104 21
 59 78 5 105 21
 60 78 5 105 21
 61 78 5 105 21
 62 78 5 105 21
 63 78 5 106 21
 64 78 5 106 21
 65 78 5 107 21
 66 80 5 107 21
 67 81 5 108 21
 68 81 5 108 21
 69 82 5 109 21
 70 82 5 110 21
 71 82 5 112 21
 72 84 5 114 21
 73 84 5 115 21
 74 84 5 116 21
 75 85 5 117 21
 76 85 5 118 21
 77 85 5 118 21
 78 86 6 118 21
 79 86 6 118 21
 80 86 6 118 21
 81 87 6 118 21
 82 88 6 118 21
 83 88 6 119 21
 84 89 6 120 21
 85 89 6 121 21
 86 90 6 122 21
 87 90 6 123 21
 88 91 6 123 21
 89 91 6 123 21
 90 91 6 123 21
 91 91 6 123 21
 92 92 7 124 21
 93 93 7 124 21
 94 93 7 125 21
 95 93 7 126 21
 96 93 7 127 21
 97 94 7 127 21
 98 95 7 127 21
 99 95 7 127 21
 100 96 7 127 21
