SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,1,1,1,1,1,1,1,1
20,0.6475,0.555,0.6525,0.5875,0.62875,0.555,0.62375,0.545
50,0.5452,0.5106,0.5888,0.547,0.6238,0.5408,0.64,0.5544
100,0.5686,0.5157,0.5918,0.5221,0.60005,0.55605,0.60895,0.5291
250,0.53804,0.51312,0.544144,0.514944,0.526064,0.51884,0.575208,0.53052
500,0.545322,0.514072,0.529444,0.508656,0.53044,0.512718,0.526122,0.508042
