 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 5 1 0 0
 3 6 1 3 0
 4 9 1 5 1
 5 11 1 6 1
 6 11 2 9 2
 7 12 2 12 3
 8 12 2 15 3
 9 12 2 20 3
 10 12 2 27 3
 11 14 2 32 3
 12 15 2 38 3
 13 15 2 43 4
 14 16 2 47 4
 15 18 2 50 4
 16 19 2 54 4
 17 20 2 59 4
 18 20 2 65 4
 19 20 2 71 4
 20 21 2 76 4
 21 22 2 80 4
 22 22 2 86 4
 23 23 2 91 4
 24 23 2 94 4
 25 23 2 98 4
 26 23 2 101 4
 27 24 2 101 4
 28 25 2 101 4
 29 26 2 101 4
 30 26 2 101 4
 31 26 2 102 4
 32 27 2 102 4
 33 29 2 103 4
 34 29 2 104 4
 35 30 2 104 4
 36 33 3 104 4
 37 33 3 104 4
 38 35 3 105 4
 39 35 3 106 4
 40 35 3 106 4
 41 35 3 106 4
 42 37 3 106 4
 43 39 3 106 4
 44 39 3 106 4
 45 40 3 106 4
 46 41 3 108 4
 47 42 3 110 4
 48 44 3 111 4
 49 45 3 112 4
 50 46 4 112 4
 51 46 4 114 4
 52 47 4 116 4
 53 49 4 119 4
 54 50 4 122 4
 55 51 4 125 4
 56 51 4 125 4
 57 52 4 126 4
 58 53 4 129 4
 59 53 4 132 4
 60 54 4 136 4
 61 54 4 138 4
 62 54 5 140 4
 63 54 5 141 4
 64 54 5 141 4
 65 55 6 141 4
 66 57 6 141 4
 67 58 6 142 4
 68 58 6 142 4
 69 58 6 142 4
 70 58 6 143 4
 71 58 6 145 4
 72 58 6 148 4
 73 58 6 150 4
 74 58 6 152 4
 75 58 6 153 4
 76 59 6 155 4
 77 59 6 156 4
 78 59 6 157 4
 79 59 6 157 4
 80 59 6 157 4
 81 59 6 157 4
 82 59 6 158 4
 83 60 6 159 4
 84 61 6 159 4
 85 61 6 160 4
 86 62 6 160 4
 87 64 6 161 4
 88 64 6 161 4
 89 65 6 162 4
 90 66 6 162 4
 91 66 7 164 4
 92 67 7 164 4
 93 67 7 164 4
 94 67 7 164 4
 95 67 7 164 4
 96 68 7 164 4
 97 68 7 164 4
 98 68 7 164 4
 99 68 7 165 4
 100 68 7 165 4
