Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,1,1,0,1,1,1,0,1
1,3,0,1,1,1,1,1,0,1
1,4,0,1,1,1,0,1,1,1
1,5,0,1,1,1,1,1,1,1
1,6,0,1,0.5,0.5,1,1,0,1
1,7,0,1,1,1,1,1,0,1
1,8,0,1,1,1,0,1,1,1
1,9,0,1,0,1,1,1,0,1
1,10,0,1,1,1,1,1,0.5,0.5
1,11,0,1,1,1,0,1,0.5,0.5
1,12,0.5,0.5,0,1,0.5,0.5,0,1
1,13,1,1,0,1,1,1,1,1
1,14,0,1,0,1,1,1,1,1
1,15,0,1,1,1,0,1,0,1
1,16,1,1,0.5,0.5,1,1,1,1
1,17,1,1,0.5,0.5,1,1,0.5,0.5
1,18,1,1,1,1,0,1,1,1
1,19,1,1,0,1,0,1,0.5,0.5
1,20,0,1,1,1,1,1,1,1
20,2,0.44125,0.55875,0.54375,0.54375,0.55375,0.55375,0.47,0.53
20,3,0.425,0.575,0.6525,0.6525,0.4425,0.5575,0.41375,0.58625
20,4,0.42625,0.57375,0.63375,0.63375,0.49625,0.50375,0.435,0.565
20,5,0.455,0.545,0.63125,0.63125,0.465,0.535,0.4025,0.5975
20,6,0.38125,0.61875,0.54,0.54,0.52875,0.52875,0.50375,0.50375
20,7,0.46625,0.53375,0.59,0.59,0.37125,0.62875,0.50125,0.50125
20,8,0.4725,0.5275,0.61,0.61,0.56625,0.56625,0.49625,0.50375
20,9,0.61125,0.61125,0.48375,0.51625,0.43625,0.56375,0.51,0.51
20,10,0.445,0.555,0.59375,0.59375,0.555,0.555,0.51875,0.51875
20,11,0.445,0.555,0.56875,0.56875,0.425,0.575,0.49375,0.50625
20,12,0.465,0.535,0.5575,0.5575,0.3725,0.6275,0.42375,0.57625
20,13,0.45,0.55,0.5625,0.5625,0.505,0.505,0.54125,0.54125
20,14,0.47125,0.52875,0.5,0.5,0.42375,0.57625,0.5475,0.5475
20,15,0.44375,0.55625,0.605,0.605,0.49375,0.50625,0.62375,0.62375
20,16,0.4875,0.5125,0.615,0.615,0.555,0.555,0.44875,0.55125
20,17,0.38125,0.61875,0.40625,0.59375,0.42,0.58,0.58875,0.58875
20,18,0.3525,0.6475,0.49375,0.50625,0.47875,0.52125,0.6025,0.6025
20,19,0.495,0.505,0.525,0.525,0.51875,0.51875,0.545,0.545
20,20,0.49,0.51,0.5875,0.5875,0.57625,0.57625,0.48125,0.51875
50,2,0.5334,0.5334,0.468,0.532,0.437,0.563,0.5264,0.5264
50,3,0.5052,0.5052,0.553,0.553,0.4716,0.5284,0.5258,0.5258
50,4,0.5126,0.5126,0.5012,0.5012,0.4652,0.5348,0.5544,0.5544
50,5,0.4798,0.5202,0.5756,0.5756,0.4358,0.5642,0.5048,0.5048
50,6,0.4934,0.5066,0.465,0.535,0.4148,0.5852,0.5396,0.5396
50,7,0.5204,0.5204,0.5134,0.5134,0.3952,0.6048,0.5502,0.5502
50,8,0.5106,0.5106,0.494,0.506,0.4592,0.5408,0.569,0.569
50,9,0.5396,0.5396,0.5088,0.5088,0.5284,0.5284,0.5294,0.5294
50,10,0.5018,0.5018,0.453,0.547,0.506,0.506,0.5892,0.5892
50,11,0.4906,0.5094,0.5472,0.5472,0.3762,0.6238,0.5906,0.5906
50,12,0.5104,0.5104,0.4442,0.5558,0.4048,0.5952,0.5174,0.5174
50,13,0.5046,0.5046,0.5178,0.5178,0.4616,0.5384,0.6152,0.6152
50,14,0.5094,0.5094,0.4392,0.5608,0.4804,0.5196,0.529,0.529
50,15,0.4984,0.5016,0.4854,0.5146,0.4098,0.5902,0.616,0.616
50,16,0.4894,0.5106,0.5888,0.5888,0.5226,0.5226,0.64,0.64
50,17,0.4548,0.5452,0.4146,0.5854,0.4406,0.5594,0.6246,0.6246
50,18,0.4676,0.5324,0.421,0.579,0.4012,0.5988,0.58,0.58
50,19,0.5218,0.5218,0.4194,0.5806,0.4804,0.5196,0.5566,0.5566
50,20,0.5104,0.5104,0.4874,0.5126,0.5358,0.5358,0.5194,0.5194
100,2,0.53475,0.53475,0.50515,0.50515,0.4302,0.5698,0.5072,0.5072
100,3,0.49965,0.50035,0.51485,0.51485,0.45275,0.54725,0.5114,0.5114
100,4,0.55365,0.55365,0.52925,0.52925,0.44395,0.55605,0.51355,0.51355
100,5,0.52725,0.52725,0.5918,0.5918,0.4794,0.5206,0.5134,0.5134
100,6,0.47195,0.52805,0.51515,0.51515,0.4216,0.5784,0.51315,0.51315
100,7,0.5686,0.5686,0.52615,0.52615,0.42915,0.57085,0.5402,0.5402
100,8,0.50535,0.50535,0.51605,0.51605,0.4728,0.5272,0.52405,0.52405
100,9,0.5445,0.5445,0.51805,0.51805,0.4963,0.5037,0.5291,0.5291
100,10,0.495,0.505,0.4765,0.5235,0.47635,0.52365,0.5422,0.5422
100,11,0.4916,0.5084,0.5221,0.5221,0.39995,0.60005,0.54005,0.54005
100,12,0.5303,0.5303,0.47935,0.52065,0.42255,0.57745,0.49095,0.50905
100,13,0.5016,0.5016,0.5165,0.5165,0.4321,0.5679,0.5684,0.5684
100,14,0.5245,0.5245,0.4674,0.5326,0.4898,0.5102,0.5214,0.5214
100,15,0.5157,0.5157,0.50555,0.50555,0.457,0.543,0.5336,0.5336
100,16,0.4769,0.5231,0.55875,0.55875,0.47645,0.52355,0.60895,0.60895
100,17,0.51215,0.51215,0.4726,0.5274,0.43495,0.56505,0.58975,0.58975
100,18,0.4947,0.5053,0.4686,0.5314,0.43875,0.56125,0.56385,0.56385
100,19,0.50505,0.50505,0.4542,0.5458,0.441,0.559,0.53835,0.53835
100,20,0.5101,0.5101,0.491,0.509,0.5047,0.5047,0.5209,0.5209
250,2,0.48604,0.51396,0.480624,0.519376,0.491712,0.508288,0.53052,0.53052
250,3,0.498872,0.501128,0.498048,0.501952,0.507168,0.507168,0.50532,0.50532
250,4,0.53804,0.53804,0.502072,0.502072,0.487712,0.512288,0.5462,0.5462
250,5,0.501224,0.501224,0.536,0.536,0.524824,0.524824,0.529648,0.529648
250,6,0.46436,0.53564,0.500352,0.500352,0.477864,0.522136,0.524952,0.524952
250,7,0.510784,0.510784,0.491336,0.508664,0.490136,0.509864,0.538456,0.538456
250,8,0.474264,0.525736,0.489328,0.510672,0.497784,0.502216,0.526504,0.526504
250,9,0.521952,0.521952,0.485056,0.514944,0.508328,0.508328,0.533136,0.533136
250,10,0.487152,0.512848,0.484024,0.515976,0.519232,0.519232,0.53924,0.53924
250,11,0.462904,0.537096,0.479688,0.520312,0.474872,0.525128,0.545528,0.545528
250,12,0.49812,0.50188,0.489024,0.510976,0.474624,0.525376,0.513752,0.513752
250,13,0.503136,0.503136,0.469496,0.530504,0.477528,0.522472,0.529432,0.529432
250,14,0.510456,0.510456,0.4818,0.5182,0.519248,0.519248,0.521896,0.521896
250,15,0.514992,0.514992,0.475032,0.524968,0.473936,0.526064,0.54832,0.54832
250,16,0.51312,0.51312,0.490048,0.509952,0.511184,0.511184,0.575208,0.575208
250,17,0.463336,0.536664,0.455856,0.544144,0.498104,0.501896,0.570472,0.570472
250,18,0.517496,0.517496,0.462952,0.537048,0.483888,0.516112,0.52372,0.52372
250,19,0.497608,0.502392,0.506304,0.506304,0.48028,0.51972,0.525384,0.525384
250,20,0.496408,0.503592,0.488328,0.511672,0.51884,0.51884,0.548912,0.548912
500,2,0.486088,0.513912,0.496844,0.503156,0.485148,0.514852,0.496014,0.503986
500,3,0.484598,0.515402,0.488832,0.511168,0.512584,0.512584,0.473878,0.526122
500,4,0.511972,0.511972,0.490704,0.509296,0.494042,0.505958,0.505048,0.505048
500,5,0.478036,0.521964,0.508656,0.508656,0.525512,0.525512,0.495312,0.504688
