SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
1,1,15,2,46,4
1,2,10,3,39,6
1,3,20,0,41,8
1,4,17,1,50,2
1,5,21,1,41,0
1,6,18,2,43,8
1,7,17,0,38,6
1,8,18,1,50,0
1,9,17,3,28,7
1,10,18,0,40,4
1,11,17,0,56,4
1,12,15,3,46,8
1,13,12,3,28,1
1,14,19,3,34,1
1,15,18,1,48,5
1,16,13,2,29,3
1,17,13,2,42,4
1,18,7,0,57,0
1,19,13,3,64,4
1,20,19,1,28,2
20,1,15,2,46,4
20,1,28,2,36,8
20,1,6,2,36,7
20,1,22,0,35,8
20,1,14,0,59,0
20,1,18,2,26,8
20,1,13,2,39,7
20,1,15,4,41,7
20,1,11,2,39,0
20,1,20,0,34,7
20,1,23,2,33,5
20,1,20,0,50,1
20,1,20,2,31,0
20,1,19,5,20,4
20,1,14,2,48,0
20,1,9,4,36,0
20,1,9,8,49,0
20,1,12,1,46,3
20,1,11,2,41,1
20,1,19,3,45,7
20,2,10,3,39,6
20,2,11,2,31,1
20,2,24,4,36,6
20,2,17,2,34,7
20,2,15,1,33,4
20,2,15,2,35,8
20,2,11,2,64,2
20,2,17,1,36,8
20,2,19,3,50,6
20,2,20,2,40,0
20,2,13,2,34,6
20,2,19,3,44,1
20,2,34,1,39,6
20,2,16,1,45,0
20,2,23,0,39,1
20,2,21,1,46,5
20,2,17,2,43,7
20,2,17,2,25,6
20,2,16,2,33,7
20,2,11,1,34,0
20,3,20,0,41,8
20,3,13,2,45,6
20,3,23,2,29,8
20,3,17,0,45,0
20,3,21,3,37,9
20,3,24,0,27,2
20,3,16,0,45,0
20,3,13,0,48,7
20,3,16,0,49,4
20,3,17,1,39,6
20,3,15,2,60,6
20,3,16,1,43,1
20,3,17,0,36,2
20,3,18,3,46,7
20,3,6,3,54,3
20,3,13,0,35,7
20,3,16,3,40,6
20,3,16,2,40,6
20,3,18,0,38,6
20,3,25,2,31,7
20,4,17,1,50,2
20,4,15,3,37,8
20,4,21,3,39,2
20,4,18,1,43,0
20,4,15,0,26,7
20,4,12,0,50,6
20,4,20,0,28,0
20,4,17,1,34,5
20,4,21,2,57,6
20,4,15,2,34,5
20,4,17,2,41,1
