 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 2 0 1 0
 3 3 0 2 0
 4 10 1 4 0
 5 11 1 7 0
 6 13 1 10 0
 7 15 1 14 1
 8 19 1 18 1
 9 19 1 22 2
 10 21 1 26 3
 11 24 1 30 4
 12 25 1 34 5
 13 28 1 39 6
 14 28 1 41 7
 15 30 1 46 8
 16 31 1 50 9
 17 31 1 56 9
 18 31 2 59 9
 19 32 2 64 10
 20 32 2 69 11
 21 33 2 73 12
 22 33 3 76 13
 23 33 3 80 13
 24 33 3 83 13
 25 34 3 86 14
 26 34 3 88 15
 27 35 3 90 15
 28 36 3 93 15
 29 37 4 95 15
 30 38 4 97 15
 31 38 4 100 15
 32 38 4 101 15
 33 39 4 102 16
 34 39 4 104 17
 35 39 4 107 18
 36 40 4 109 19
 37 40 4 112 20
 38 40 4 114 21
 39 40 4 115 21
 40 40 4 115 21
 41 40 4 116 21
 42 41 4 116 21
 43 41 4 118 21
 44 41 4 120 21
 45 41 4 120 21
 46 41 4 123 21
 47 42 4 124 21
 48 42 4 126 21
 49 42 4 130 21
 50 43 4 132 21
 51 43 4 134 22
 52 44 4 135 23
 53 45 4 135 23
 54 45 4 135 23
 55 45 4 138 23
 56 45 4 139 23
 57 45 4 140 24
 58 45 4 142 24
 59 45 4 143 25
 60 45 4 144 25
 61 45 4 145 25
 62 46 4 146 25
 63 46 4 146 25
 64 46 4 146 25
 65 46 5 149 25
 66 46 5 150 25
 67 46 6 150 25
 68 47 6 151 25
 69 48 6 153 25
 70 48 6 153 25
 71 48 6 153 25
 72 49 6 153 25
 73 49 6 153 25
 74 49 6 153 25
 75 49 6 154 25
 76 49 6 154 25
 77 49 7 154 25
 78 49 7 154 25
 79 49 7 154 25
 80 49 7 154 25
 81 49 7 154 25
 82 49 8 155 25
 83 49 8 155 25
 84 49 8 155 25
 85 49 8 155 25
 86 49 8 155 25
 87 49 9 155 25
 88 49 9 155 25
 89 49 9 155 25
 90 49 9 155 25
 91 49 9 155 25
 92 49 9 155 25
 93 49 9 155 25
 94 49 9 155 25
 95 49 9 155 25
 96 49 9 155 25
 97 49 9 155 25
 98 49 9 155 25
 99 49 9 155 25
 100 50 9 155 25
