 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 6 0 0 0
 3 6 0 7 0
 4 7 0 13 0
 5 8 0 18 0
 6 9 0 24 0
 7 9 0 30 1
 8 10 0 37 1
 9 10 0 41 2
 10 11 0 45 3
 11 12 0 50 4
 12 12 0 56 5
 13 13 0 62 5
 14 13 0 66 5
 15 13 0 69 5
 16 14 0 71 5
 17 15 0 73 5
 18 15 0 74 5
 19 15 0 74 5
 20 17 0 75 5
 21 17 0 78 5
 22 18 0 82 5
 23 19 1 85 5
 24 19 1 87 5
 25 19 1 88 5
 26 20 1 89 5
 27 21 1 91 5
 28 22 1 93 5
 29 23 1 94 5
 30 23 2 95 5
 31 23 3 95 5
 32 25 3 96 5
 33 26 5 99 5
 34 26 5 101 5
 35 26 6 103 5
 36 27 6 106 5
 37 27 6 109 5
 38 29 6 112 5
 39 30 6 117 5
 40 31 6 120 5
 41 31 6 124 5
 42 33 6 128 5
 43 35 6 132 5
 44 36 6 134 5
 45 37 6 135 5
 46 37 6 136 5
 47 38 6 138 5
 48 38 7 138 5
 49 39 7 138 5
 50 39 7 139 5
 51 41 7 139 5
 52 42 7 141 5
 53 42 7 143 5
 54 42 7 144 5
 55 42 7 144 5
 56 42 7 144 5
 57 43 7 145 5
 58 43 7 146 5
 59 43 7 147 5
 60 44 7 147 5
 61 44 7 147 5
 62 44 7 147 5
 63 44 7 147 5
 64 45 7 147 6
 65 45 7 148 6
 66 45 7 148 6
 67 46 7 148 6
 68 47 7 148 6
 69 47 8 148 6
 70 48 8 148 6
 71 49 8 148 6
 72 50 8 148 6
 73 51 8 148 6
 74 51 8 149 6
 75 52 8 149 6
 76 53 8 150 6
 77 53 8 151 6
 78 54 8 151 6
 79 54 8 151 6
 80 55 8 151 6
 81 55 8 151 6
 82 56 8 151 6
 83 56 8 151 6
 84 56 8 151 6
 85 56 8 151 6
 86 56 8 151 6
 87 56 8 151 6
 88 56 8 151 6
 89 56 8 151 6
 90 56 9 151 6
 91 57 9 152 6
 92 59 9 152 6
 93 59 9 152 6
 94 59 9 152 6
 95 60 9 151 6
 96 60 9 151 6
 97 60 9 151 6
 98 61 9 151 6
 99 61 10 151 6
 100 61 10 151 6
