 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 1 0 1
 3 3 1 4 1
 4 6 1 8 1
 5 9 2 14 1
 6 10 3 19 1
 7 13 3 25 2
 8 15 3 31 3
 9 20 3 37 4
 10 20 3 43 5
 11 23 3 49 6
 12 24 3 54 7
 13 27 3 56 8
 14 28 3 59 9
 15 31 3 61 10
 16 33 3 63 11
 17 34 3 65 12
 18 35 3 67 13
 19 35 3 68 14
 20 37 3 69 14
 21 38 3 70 14
 22 39 3 71 14
 23 40 3 71 14
 24 41 4 71 14
 25 41 4 71 15
 26 43 4 71 15
 27 44 4 71 15
 28 45 4 71 15
 29 45 4 72 15
 30 47 4 72 15
 31 49 4 73 15
 32 52 4 73 15
 33 52 4 74 15
 34 54 4 75 15
 35 57 4 76 15
 36 59 5 76 15
 37 60 5 78 15
 38 62 5 79 15
 39 64 5 82 15
 40 66 5 83 15
 41 68 5 86 15
 42 69 5 88 15
 43 70 5 89 16
 44 71 5 90 17
 45 71 5 91 18
 46 72 5 93 18
 47 73 5 95 18
 48 74 5 98 18
 49 74 5 103 18
 50 75 5 106 18
 51 76 5 110 18
 52 76 5 112 18
 53 78 6 113 18
 54 78 6 114 18
 55 79 6 115 18
 56 79 6 115 18
 57 79 6 117 18
 58 80 6 118 18
 59 81 7 119 18
 60 83 7 121 18
 61 86 8 124 18
 62 87 8 126 18
 63 87 8 128 18
 64 87 8 131 18
 65 87 8 133 18
 66 89 8 135 18
 67 91 8 135 18
 68 91 8 136 18
 69 91 8 137 18
 70 91 8 137 18
 71 92 8 137 18
 72 94 9 137 18
 73 95 9 137 18
 74 95 10 137 18
 75 95 10 138 18
 76 97 10 138 19
 77 98 11 138 20
 78 99 11 138 21
 79 101 11 138 21
 80 102 11 138 21
 81 104 11 138 21
 82 104 11 138 21
 83 105 12 139 21
 84 106 12 142 21
 85 106 12 146 21
 86 108 12 149 21
 87 109 12 152 21
 88 110 12 154 21
 89 112 13 158 21
 90 113 13 159 21
 91 113 13 162 21
 92 114 13 165 21
 93 114 14 168 21
 94 114 14 171 21
 95 115 14 174 21
 96 115 14 176 21
 97 115 14 178 21
 98 116 14 182 21
 99 116 14 184 21
 100 116 14 187 21
