 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 6 0 0 0
 3 8 0 2 1
 4 11 0 6 1
 5 12 0 9 2
 6 15 0 13 3
 7 17 0 18 4
 8 18 0 22 5
 9 19 0 27 6
 10 21 0 32 7
 11 22 0 38 8
 12 23 0 44 9
 13 24 0 52 10
 14 25 0 59 11
 15 26 0 66 12
 16 26 0 73 13
 17 27 0 79 14
 18 27 0 85 15
 19 28 0 90 16
 20 30 0 97 16
 21 30 0 102 16
 22 30 0 109 16
 23 31 0 116 16
 24 31 0 121 16
 25 32 0 126 17
 26 32 0 132 17
 27 33 0 137 17
 28 33 0 141 17
 29 34 0 144 17
 30 35 0 147 17
 31 37 0 149 17
 32 37 0 150 17
 33 37 0 151 17
 34 38 0 153 17
 35 39 0 155 17
 36 39 0 157 17
 37 40 0 159 17
 38 40 0 161 17
 39 40 0 162 17
 40 41 0 162 17
 41 43 0 163 18
 42 44 0 165 19
 43 45 0 167 20
 44 45 0 168 21
 45 45 0 169 21
 46 47 0 171 21
 47 47 0 171 21
 48 47 0 171 21
 49 48 0 171 21
 50 48 0 173 21
 51 48 0 175 21
 52 49 0 176 22
 53 51 0 176 22
 54 51 0 176 22
 55 53 0 176 22
 56 53 0 176 22
 57 53 0 177 23
 58 55 0 177 24
 59 55 0 178 24
 60 56 0 179 25
 61 58 0 179 26
 62 59 0 179 27
 63 59 0 179 28
 64 59 0 180 28
 65 59 0 180 28
 66 59 0 180 28
 67 60 0 180 29
 68 60 0 181 30
 69 60 0 181 31
 70 62 0 181 32
 71 65 0 182 33
 72 65 0 182 34
 73 66 0 182 35
 74 67 0 183 36
 75 67 0 183 37
 76 67 0 183 38
 77 69 0 184 38
 78 70 0 183 38
 79 71 0 183 38
 80 71 0 183 38
 81 71 0 183 39
 82 71 0 183 39
 83 72 0 183 39
 84 74 0 183 40
 85 75 0 183 41
 86 76 0 183 41
 87 77 0 183 41
 88 78 0 184 41
 89 79 0 185 41
 90 79 0 186 41
 91 79 0 186 41
 92 80 0 186 41
 93 80 0 186 41
 94 82 0 187 41
 95 82 0 187 41
 96 83 0 187 42
 97 85 0 187 43
 98 85 0 187 44
 99 86 0 187 45
 100 86 0 187 46
