SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,1,0.5,0.5,0.5,1,0.5,0.5,0.5
20,0.62625,0.5475,0.55,0.525,0.575,0.525,0.525,0.5
50,0.5712,0.5222,0.52,0.51,0.55,0.52,0.52,0.5
100,0.5682,0.5288,0.525,0.505,0.535,0.51,0.515,0.505
250,0.5282,0.511184,0.514,0.504,0.522,0.5078,0.506,0.502
500,0.527546,0.512822,0.512,0.504,0.5149,0.5073,0.506,0.501
