SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,1,1,1,0.5,1,1,1,0.5
20,0.66,0.5425,0.55,0.525,0.6775,0.56625,0.62,0.52375
50,0.6182,0.5476,0.58,0.51,0.615,0.5404,0.5612,0.5132
100,0.5572,0.5154,0.5387,0.5198,0.55495,0.5128,0.55105,0.50455
250,0.559776,0.514896,0.522296,0.50996,0.545536,0.519456,0.55068,0.507024
500,0.540698,0.509276,0.519134,0.504194,0.531496,0.514182,0.5202,0.506898
