Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,1,1,0.5,0.5,0.5,0.5,0.5,0.5
1,3,1,1,0.5,0.5,0.5,0.5,0.5,0.5
1,4,1,1,0.5,0.5,0,1,0.5,0.5
1,5,1,1,0.5,0.5,0,1,0.5,0.5
1,6,1,1,0.5,0.5,1,1,0,1
1,7,1,1,0.5,0.5,0,1,0.5,0.5
1,8,1,1,0,1,0,1,0.5,0.5
1,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5
1,10,1,1,0.5,0.5,0,1,0.5,0.5
1,11,1,1,0.5,0.5,0,1,0.5,0.5
1,12,1,1,0.5,0.5,0.5,0.5,0.5,0.5
1,13,1,1,0.5,0.5,0.5,0.5,0.5,0.5
1,14,1,1,0.5,0.5,0,1,0.5,0.5
1,15,1,1,0.5,0.5,0.5,0.5,0.5,0.5
1,16,1,1,0.5,0.5,0,1,0.5,0.5
1,17,1,1,0.5,0.5,1,1,0.5,0.5
1,18,1,1,0.5,0.5,0,1,0.5,0.5
1,19,1,1,0,1,1,1,0.5,0.5
1,20,1,1,0.5,0.5,0.5,0.5,0.5,0.5
20,2,0.5575,0.5575,0.495,0.505,0.55125,0.55125,0.45625,0.54375
20,3,0.4575,0.5425,0.475,0.525,0.6275,0.6275,0.49625,0.50375
20,4,0.535,0.535,0.475,0.525,0.61375,0.61375,0.5275,0.5275
20,5,0.575,0.575,0.55,0.55,0.465,0.535,0.5275,0.5275
20,6,0.59,0.59,0.5,0.5,0.53125,0.53125,0.40875,0.59125
20,7,0.47125,0.52875,0.525,0.525,0.5625,0.5625,0.5275,0.5275
20,8,0.53375,0.53375,0.475,0.525,0.495,0.505,0.38,0.62
20,9,0.465,0.535,0.475,0.525,0.6775,0.6775,0.48,0.52
20,10,0.50875,0.50875,0.525,0.525,0.56625,0.56625,0.5275,0.5275
20,11,0.505,0.505,0.525,0.525,0.42875,0.57125,0.48,0.52
