SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
1,1,4,0,1,0
1,2,0,0,1,0
1,3,0,0,1,0
1,4,1,0,3,0
1,5,1,0,3,0
1,6,0,0,0,1
1,7,0,0,2,0
1,8,3,1,2,0
1,9,1,0,1,0
1,10,1,0,4,0
1,11,3,0,4,0
1,12,1,0,1,0
1,13,2,0,1,0
1,14,2,0,2,0
1,15,2,0,1,0
1,16,1,0,3,0
1,17,3,0,0,0
1,18,3,0,4,0
1,19,0,1,0,0
1,20,3,0,1,0
20,1,4,0,1,0
20,1,1,1,6,1
20,1,3,1,2,0
20,1,1,0,2,0
20,1,1,0,1,0
20,1,0,1,4,0
20,1,2,0,0,0
20,1,3,0,2,0
20,1,0,0,4,0
20,1,1,0,5,0
20,1,3,0,1,0
20,1,4,0,3,0
20,1,1,1,4,1
20,1,1,0,3,0
20,1,1,0,4,0
20,1,1,0,2,0
20,1,4,0,0,0
20,1,3,0,2,2
20,1,6,0,3,0
20,1,2,0,2,0
20,2,0,0,1,0
20,2,2,0,3,0
20,2,1,0,0,1
20,2,1,0,4,0
20,2,1,0,3,1
20,2,1,0,1,0
20,2,2,0,3,1
20,2,3,0,5,0
20,2,3,0,2,0
20,2,2,0,0,1
20,2,2,1,1,0
20,2,1,0,4,1
20,2,4,1,5,0
20,2,1,2,4,0
20,2,0,0,2,0
20,2,3,1,1,0
20,2,4,0,1,0
20,2,1,0,2,0
20,2,0,0,0,0
20,2,2,0,3,0
20,3,0,0,1,0
20,3,4,0,2,0
20,3,1,1,2,0
20,3,2,0,4,0
20,3,2,0,2,0
20,3,5,1,2,0
20,3,1,0,1,0
20,3,2,1,2,0
20,3,2,1,2,2
20,3,1,0,1,0
20,3,3,0,2,2
20,3,2,1,1,0
20,3,1,0,3,0
20,3,2,0,2,0
20,3,2,0,2,0
20,3,3,0,2,0
20,3,4,0,4,1
20,3,2,0,1,0
20,3,2,0,1,0
20,3,2,0,1,0
20,4,1,0,3,0
20,4,1,0,1,0
20,4,2,0,4,0
20,4,2,1,2,0
20,4,3,0,2,0
20,4,2,1,1,0
20,4,3,0,4,0
20,4,2,0,3,0
20,4,2,0,1,0
20,4,2,1,5,0
20,4,1,0,2,0
20,4,2,0,1,0
20,4,2,0,1,1
20,4,1,0,1,0
20,4,1,0,1,0
20,4,1,1,2,0
20,4,2,0,0,0
20,4,0,1,3,0
20,4,2,0,0,0
20,4,2,0,2,1
20,5,1,0,3,0
20,5,2,0,1,0
20,5,3,1,3,0
20,5,3,0,1,0
20,5,0,0,2,0
20,5,1,0,2,1
20,5,2,0,1,0
20,5,0,0,6,0
20,5,1,0,6,0
20,5,2,0,5,0
20,5,1,1,4,1
20,5,3,0,3,0
20,5,1,0,3,0
20,5,2,0,2,0
20,5,3,0,3,0
20,5,0,0,0,0
20,5,3,0,2,0
20,5,2,0,5,0
20,5,1,0,3,0
20,5,1,0,1,0
20,6,0,0,0,1
20,6,1,0,2,1
20,6,2,0,1,0
20,6,0,0,4,1
20,6,1,0,5,1
20,6,1,0,1,0
20,6,2,0,3,0
20,6,1,0,1,0
20,6,3,0,1,1
20,6,1,0,3,0
20,6,2,1,4,0
20,6,2,0,2,0
20,6,1,0,1,0
20,6,2,0,2,1
20,6,1,1,4,1
20,6,2,0,4,0
20,6,3,1,4,0
20,6,3,1,3,0
20,6,1,0,0,0
20,6,1,0,2,0
20,7,0,0,2,0
20,7,4,0,6,0
20,7,3,1,1,0
20,7,2,0,2,0
20,7,3,0,2,0
20,7,2,1,2,0
20,7,2,0,3,0
20,7,1,0,2,0
20,7,3,0,1,0
20,7,2,1,2,0
20,7,3,0,2,0
20,7,1,0,3,0
20,7,2,0,1,0
20,7,1,0,2,0
20,7,1,0,3,0
20,7,1,0,4,0
20,7,2,0,1,0
20,7,1,0,6,0
20,7,4,0,0,1
20,7,4,0,1,1
20,8,3,1,2,0
20,8,4,0,0,0
20,8,2,0,2,0
20,8,2,0,3,1
20,8,0,1,1,0
20,8,3,0,4,0
20,8,1,0,4,1
20,8,1,0,4,1
20,8,3,0,0,0
20,8,1,0,0,1
20,8,5,0,1,0
20,8,1,0,3,0
20,8,1,0,3,0
20,8,2,0,5,1
20,8,3,1,3,1
20,8,1,0,2,0
20,8,1,1,3,3
20,8,1,0,3,0
20,8,1,0,5,0
20,8,1,1,2,1
20,9,1,0,1,0
20,9,0,0,2,0
20,9,0,1,5,0
20,9,2,1,3,0
20,9,4,0,0,0
20,9,3,0,2,0
20,9,1,0,2,0
20,9,1,0,1,0
20,9,4,1,0,1
20,9,0,1,2,0
20,9,3,0,1,1
20,9,1,0,2,1
20,9,2,0,2,0
20,9,4,0,0,0
20,9,7,0,1,0
20,9,2,0,3,0
20,9,4,0,1,0
20,9,2,1,1,0
20,9,3,0,0,1
20,9,2,0,3,0
20,10,1,0,4,0
20,10,2,0,2,0
20,10,2,0,0,0
20,10,4,0,5,0
20,10,1,0,4,0
20,10,3,0,4,0
20,10,3,0,1,1
20,10,2,1,3,0
20,10,1,0,3,0
20,10,3,0,1,0
20,10,2,0,0,0
20,10,0,0,1,0
20,10,2,0,2,0
20,10,3,0,0,0
20,10,1,0,3,0
20,10,3,0,4,0
20,10,2,0,1,0
20,10,2,1,4,0
20,10,1,1,0,1
20,10,0,0,1,0
20,11,3,0,4,0
20,11,3,0,2,0
20,11,3,0,5,0
20,11,2,0,3,1
20,11,1,0,2,0
20,11,2,0,3,0
20,11,3,1,6,0
20,11,3,0,2,0
20,11,2,0,2,1
20,11,1,0,1,0
20,11,1,0,4,1
20,11,1,1,4,1
20,11,2,0,1,0
20,11,1,1,4,0
20,11,3,0,0,0
20,11,1,0,3,0
20,11,2,0,3,0
20,11,1,0,2,0
20,11,2,0,4,0
20,11,1,0,3,0
20,12,1,0,1,0
20,12,4,0,4,0
20,12,3,0,4,0
20,12,3,0,3,0
20,12,1,1,3,0
20,12,3,0,2,0
20,12,3,0,0,0
20,12,5,0,1,1
20,12,1,0,0,0
20,12,1,0,3,0
20,12,1,0,1,0
20,12,3,0,3,0
20,12,3,0,2,0
20,12,6,0,1,0
20,12,2,0,1,1
20,12,2,1,5,1
20,12,2,0,2,0
20,12,1,0,2,1
20,12,1,0,0,0
20,12,5,1,2,0
20,13,2,0,1,0
20,13,0,0,3,1
20,13,2,0,3,0
20,13,3,0,3,1
20,13,0,0,0,0
20,13,3,1,2,0
20,13,2,0,4,0
20,13,2,0,5,0
20,13,2,0,0,1
20,13,2,0,3,0
20,13,2,0,3,0
20,13,4,0,4,0
20,13,4,1,4,0
20,13,1,0,1,0
20,13,4,0,2,0
20,13,2,0,3,1
20,13,0,0,6,0
20,13,1,0,1,0
20,13,1,0,5,0
20,13,3,0,2,0
20,14,2,0,2,0
20,14,5,0,1,0
20,14,5,0,1,0
20,14,0,0,4,0
20,14,1,0,4,0
20,14,2,1,1,0
20,14,2,0,1,0
20,14,3,1,2,0
20,14,0,0,2,1
20,14,4,0,0,0
20,14,1,0,4,0
20,14,1,0,3,1
20,14,2,0,4,0
20,14,2,1,1,0
20,14,2,0,0,0
20,14,4,0,3,1
20,14,1,1,2,0
20,14,3,0,2,0
20,14,3,1,2,1
20,14,2,0,1,0
20,15,2,0,1,0
20,15,1,0,4,0
20,15,2,0,1,0
20,15,1,0,1,0
20,15,1,0,3,0
20,15,1,0,3,0
20,15,4,0,2,0
20,15,1,0,8,0
20,15,2,1,3,0
20,15,2,1,3,0
20,15,0,1,6,0
20,15,1,0,5,0
20,15,2,0,3,0
20,15,2,0,3,0
20,15,2,1,0,1
20,15,2,0,0,0
20,15,2,0,2,0
20,15,3,1,1,0
20,15,2,0,1,0
20,15,0,1,7,2
20,16,1,0,3,0
20,16,3,0,1,0
20,16,1,0,1,0
20,16,0,1,3,1
20,16,0,0,0,0
20,16,2,1,1,1
20,16,1,0,2,0
20,16,2,0,0,0
20,16,2,0,3,0
20,16,3,0,3,1
20,16,2,0,1,0
20,16,2,0,2,0
20,16,1,0,4,0
20,16,1,0,0,0
20,16,5,0,2,0
20,16,0,0,4,0
20,16,1,0,1,0
20,16,1,0,2,0
20,16,1,0,0,0
20,16,3,0,0,1
20,17,3,0,0,0
20,17,0,1,1,0
20,17,5,0,4,0
20,17,5,0,3,0
20,17,1,1,4,1
20,17,2,0,3,0
20,17,3,0,5,0
20,17,1,1,5,1
20,17,2,0,1,0
20,17,2,1,4,0
20,17,2,0,0,0
20,17,1,0,0,1
20,17,0,0,1,0
20,17,4,0,4,0
20,17,4,0,2,0
20,17,0,0,3,0
20,17,5,0,3,0
20,17,0,0,2,0
20,17,3,0,3,0
20,17,2,0,0,0
20,18,3,0,4,0
20,18,1,0,4,0
20,18,1,0,1,0
20,18,1,1,5,0
20,18,0,0,3,0
20,18,1,1,2,0
20,18,1,0,0,0
20,18,2,0,3,0
20,18,0,0,1,0
20,18,1,0,4,0
20,18,1,0,2,0
20,18,2,0,6,1
20,18,2,0,0,0
20,18,1,1,1,1
20,18,2,0,1,1
20,18,2,1,3,0
20,18,4,0,2,0
20,18,0,0,1,0
20,18,0,0,2,0
20,18,4,0,3,0
20,19,0,1,0,0
20,19,1,0,2,0
20,19,1,0,2,0
20,19,1,0,2,0
20,19,3,0,3,0
20,19,0,0,0,0
20,19,3,1,2,0
20,19,1,0,1,0
20,19,3,0,2,0
20,19,3,0,4,1
20,19,4,0,0,0
20,19,3,0,4,0
20,19,3,0,2,0
20,19,2,0,1,1
20,19,3,0,3,0
20,19,4,1,3,0
20,19,0,0,1,0
20,19,1,1,3,0
20,19,2,0,2,0
20,19,1,0,5,0
20,20,3,0,1,0
20,20,2,0,3,1
20,20,2,0,0,0
20,20,1,0,0,0
20,20,0,0,2,0
20,20,2,1,2,0
20,20,0,0,4,0
20,20,2,1,2,0
20,20,0,0,3,0
20,20,1,0,1,0
20,20,1,0,1,0
20,20,0,0,3,0
20,20,2,0,3,0
20,20,2,0,1,1
20,20,0,0,0,0
20,20,0,0,0,0
20,20,3,0,2,0
20,20,2,0,3,0
20,20,1,0,2,0
20,20,0,0,3,0
50,1,4,0,1,0
50,1,1,1,6,1
50,1,3,1,2,0
50,1,1,0,2,0
50,1,1,0,1,0
50,1,0,1,4,0
50,1,2,0,0,0
50,1,3,0,2,0
50,1,0,0,4,0
50,1,1,0,5,0
50,1,3,0,1,0
50,1,4,0,3,0
50,1,1,1,4,1
50,1,1,0,3,0
50,1,1,0,4,0
50,1,1,0,2,0
50,1,4,0,0,0
50,1,3,0,2,2
50,1,6,0,3,0
50,1,2,0,2,0
50,1,1,1,3,0
