 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 5 0 0 0
 3 7 0 2 0
 4 9 0 7 0
 5 10 0 12 0
 6 12 0 18 0
 7 13 0 25 0
 8 14 0 32 1
 9 15 0 40 2
 10 16 0 49 3
 11 16 0 56 4
 12 17 0 64 4
 13 18 0 73 4
 14 19 0 82 5
 15 19 0 91 6
 16 20 0 99 7
 17 22 0 107 8
 18 23 0 113 8
 19 25 0 117 8
 20 25 1 123 9
 21 26 1 130 9
 22 27 1 136 9
 23 29 1 140 9
 24 29 1 142 10
 25 31 1 144 10
 26 34 1 148 10
 27 35 1 151 10
 28 35 1 156 10
 29 36 1 160 10
 30 36 1 162 10
 31 37 1 165 10
 32 38 1 169 10
 33 38 1 173 10
 34 38 1 176 10
 35 38 1 179 10
 36 39 1 180 11
 37 40 1 183 12
 38 40 1 186 13
 39 42 1 189 14
 40 44 2 192 15
 41 46 2 195 16
 42 47 2 198 17
 43 48 2 200 17
 44 48 2 201 17
 45 49 2 203 17
 46 49 2 206 17
 47 49 2 208 17
 48 50 2 212 17
 49 52 2 215 17
 50 52 2 217 17
 51 52 2 218 17
 52 53 2 219 17
 53 53 2 219 17
 54 54 2 220 17
 55 54 3 221 17
 56 54 4 222 17
 57 54 4 222 17
 58 54 4 223 17
 59 55 4 224 17
 60 55 4 226 17
 61 56 4 227 17
 62 57 4 229 17
 63 58 4 231 17
 64 58 4 233 17
 65 59 4 235 17
 66 59 5 237 17
 67 60 5 240 17
 68 61 5 243 17
 69 61 5 244 17
 70 62 6 245 17
 71 63 6 246 17
 72 63 6 247 17
 73 64 7 248 17
 74 64 7 249 17
 75 64 7 250 17
 76 64 7 252 17
 77 65 7 252 17
 78 66 7 253 17
 79 66 7 253 17
 80 67 7 253 17
 81 67 7 253 17
 82 67 7 253 17
 83 67 7 255 17
 84 67 7 255 17
 85 67 7 255 17
 86 67 7 256 17
 87 68 7 257 17
 88 68 7 258 17
 89 70 7 258 17
 90 70 7 259 17
 91 70 7 259 17
 92 70 7 261 17
 93 71 7 262 17
 94 71 7 263 17
 95 71 7 266 17
 96 71 8 267 17
 97 70 8 268 17
 98 72 8 269 17
 99 74 8 269 17
 100 75 8 269 17
