SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,1,1,1,1,1,1,1,1
10,0.62,0.55,0.675,0.565,0.695,0.575,0.72,0.615
25,0.576,0.5304,0.6312,0.5304,0.676,0.548,0.7264,0.6144
50,0.5512,0.5158,0.6092,0.5412,0.656,0.5394,0.6294,0.5486
100,0.55205,0.517,0.5623,0.5145,0.5786,0.5352,0.60165,0.5433
250,1,1,1,1,1,1,1,1
500,1,1,1,1,1,1,1,1
