 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 4 1 1 1
 3 7 1 2 1
 4 10 1 6 1
 5 12 1 10 1
 6 15 2 16 1
 7 20 2 22 1
 8 24 2 27 1
 9 26 2 33 1
 10 28 3 40 1
 11 32 3 47 1
 12 33 3 54 2
 13 35 3 60 3
 14 37 3 65 4
 15 41 3 68 5
 16 42 3 72 5
 17 43 3 75 5
 18 44 3 80 5
 19 46 3 85 5
 20 47 3 89 5
 21 47 3 91 5
 22 48 3 94 5
 23 49 3 96 5
 24 50 3 97 5
 25 53 3 99 5
 26 54 3 100 5
 27 54 3 102 5
 28 54 3 104 5
 29 55 3 107 5
 30 55 3 109 5
 31 56 3 111 5
 32 56 3 114 5
 33 57 3 116 5
 34 58 3 119 5
 35 59 3 123 5
 36 60 3 125 5
 37 61 3 130 5
 38 61 3 136 5
 39 61 3 141 5
 40 61 3 145 5
 41 62 3 148 5
 42 62 3 150 5
 43 63 3 152 5
 44 64 3 155 5
 45 64 3 160 5
 46 66 3 165 5
 47 67 3 168 5
 48 69 3 172 5
 49 69 3 175 5
 50 69 3 178 5
 51 70 3 179 5
 52 71 3 182 5
 53 71 3 185 5
 54 71 3 188 5
 55 74 3 190 6
 56 74 3 192 6
 57 74 3 194 6
 58 74 3 196 6
 59 75 3 197 6
 60 77 4 198 6
 61 79 4 199 6
 62 80 4 200 6
 63 80 5 201 6
 64 81 5 203 6
 65 81 5 205 6
 66 82 5 208 6
 67 83 5 211 6
 68 83 5 215 6
 69 83 5 219 6
 70 84 5 224 6
 71 84 5 228 6
 72 85 5 232 6
 73 86 5 237 6
 74 87 5 241 6
 75 87 5 245 6
 76 87 5 248 6
 77 88 5 250 6
 78 88 5 252 6
 79 88 5 254 6
 80 89 5 256 6
 81 89 5 259 6
 82 89 5 261 6
 83 90 5 262 6
 84 90 5 265 6
 85 90 5 267 6
 86 90 6 269 6
 87 90 6 272 6
 88 90 6 274 6
 89 90 6 275 6
 90 92 6 276 6
 91 93 6 277 6
 92 94 6 278 6
 93 95 6 279 6
 94 96 6 281 6
 95 96 6 283 6
 96 97 6 285 6
 97 97 6 287 6
 98 98 6 288 6
 99 99 6 288 6
 100 99 6 289 6
