 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 6 1 2 0
 3 6 1 4 1
 4 8 2 7 2
 5 10 2 10 3
 6 13 2 12 4
 7 14 3 17 5
 8 16 3 22 6
 9 16 4 27 7
 10 19 4 33 8
 11 20 5 38 9
 12 21 5 42 10
 13 23 5 47 11
 14 25 5 53 12
 15 25 6 57 13
 16 26 6 61 14
 17 27 7 67 15
 18 28 7 74 16
 19 30 7 82 17
 20 31 7 90 18
 21 31 7 98 19
 22 32 7 105 20
 23 34 7 112 20
 24 35 7 118 20
 25 36 7 124 21
 26 36 7 131 21
 27 38 7 136 22
 28 38 7 143 23
 29 38 7 149 24
 30 40 7 156 25
 31 41 7 161 26
 32 41 7 166 27
 33 42 7 170 28
 34 44 7 174 29
 35 45 7 177 30
 36 46 8 182 30
 37 47 8 187 30
 38 47 8 190 30
 39 47 8 192 30
 40 50 8 195 30
 41 53 9 198 30
 42 56 9 201 30
 43 58 9 204 30
 44 60 9 207 31
 45 60 9 209 32
 46 63 9 209 33
 47 65 9 210 34
 48 66 9 210 34
 49 71 9 210 34
 50 71 9 210 34
 51 72 9 211 34
 52 72 9 213 35
 53 74 9 215 36
 54 74 9 218 36
 55 75 9 220 36
 56 77 9 222 37
 57 79 9 223 37
 58 79 9 224 37
 59 80 9 227 38
 60 80 9 229 39
 61 81 9 231 40
 62 81 9 233 41
 63 82 9 235 42
 64 83 9 237 42
 65 84 9 239 42
 66 85 10 241 42
 67 85 10 243 42
 68 86 10 244 42
 69 87 10 245 42
 70 88 10 245 42
 71 89 10 245 42
 72 89 10 246 42
 73 89 10 247 43
 74 89 10 249 43
 75 89 10 249 43
 76 89 10 250 43
 77 89 10 250 43
 78 90 10 251 43
 79 91 10 252 43
 80 92 10 253 43
 81 93 10 254 43
 82 93 10 255 43
 83 96 10 256 43
 84 96 10 257 43
 85 98 10 259 43
 86 102 11 259 43
 87 104 11 259 43
 88 104 11 260 43
 89 104 11 261 43
 90 104 11 261 43
 91 105 11 262 43
 92 106 11 264 43
 93 108 11 265 43
 94 108 12 265 43
 95 109 12 266 43
 96 110 12 266 43
 97 110 13 266 43
 98 111 13 267 43
 99 113 14 268 43
 100 114 14 269 43
