Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,1,1,0,1,1,1,0,1
1,3,1,1,0.5,0.5,0,1,0,1
1,4,0,1,0,1,1,1,0.5,0.5
1,5,0.5,0.5,0,1,0,1,0,1
1,6,0,1,0,1,1,1,0,1
1,7,0,1,1,1,0,1,0,1
1,8,0,1,0.5,0.5,1,1,0,1
1,9,0,1,0.5,0.5,0,1,0.5,0.5
1,10,1,1,0.5,0.5,1,1,0,1
1,11,0,1,0.5,0.5,1,1,0,1
1,12,0,1,0.5,0.5,1,1,0,1
1,13,0,1,0,1,1,1,0.5,0.5
1,14,0.5,0.5,1,1,1,1,0,1
1,15,0,1,1,1,0,1,0.5,0.5
1,16,0,1,0.5,0.5,0.5,0.5,0.5,0.5
1,17,0,1,0,1,1,1,0,1
1,18,0,1,0,1,0.5,0.5,0,1
1,19,0,1,0,1,0,1,0,1
1,20,0,1,1,1,1,1,0,1
10,2,0.43,0.57,0.625,0.625,0.595,0.595,0.35,0.65
10,3,0.58,0.58,0.55,0.55,0.515,0.515,0.34,0.66
10,4,0.425,0.575,0.515,0.515,0.695,0.695,0.45,0.55
10,5,0.57,0.57,0.6,0.6,0.49,0.51,0.395,0.605
10,6,0.395,0.605,0.48,0.52,0.67,0.67,0.335,0.665
10,7,0.545,0.545,0.515,0.515,0.42,0.58,0.36,0.64
10,8,0.495,0.505,0.62,0.62,0.61,0.61,0.425,0.575
10,9,0.525,0.525,0.48,0.52,0.545,0.545,0.36,0.64
10,10,0.6,0.6,0.435,0.565,0.66,0.66,0.28,0.72
10,11,0.54,0.54,0.43,0.57,0.635,0.635,0.32,0.68
10,12,0.525,0.525,0.53,0.53,0.53,0.53,0.29,0.71
10,13,0.455,0.545,0.61,0.61,0.545,0.545,0.44,0.56
10,14,0.62,0.62,0.645,0.645,0.505,0.505,0.395,0.605
10,15,0.47,0.53,0.515,0.515,0.695,0.695,0.525,0.525
10,16,0.475,0.525,0.675,0.675,0.555,0.555,0.485,0.515
10,17,0.425,0.575,0.4,0.6,0.555,0.555,0.44,0.56
10,18,0.55,0.55,0.525,0.525,0.53,0.53,0.315,0.685
10,19,0.45,0.55,0.54,0.54,0.66,0.66,0.395,0.605
10,20,0.6,0.6,0.635,0.635,0.575,0.575,0.385,0.615
25,2,0.5064,0.5064,0.4976,0.5024,0.5048,0.5048,0.336,0.664
25,3,0.5168,0.5168,0.4752,0.5248,0.4944,0.5056,0.392,0.608
25,4,0.4568,0.5432,0.508,0.508,0.6264,0.6264,0.3808,0.6192
25,5,0.4696,0.5304,0.5704,0.5704,0.5592,0.5592,0.3392,0.6608
25,6,0.4512,0.5488,0.3688,0.6312,0.6168,0.6168,0.48,0.52
25,7,0.4712,0.5288,0.4952,0.5048,0.4792,0.5208,0.4072,0.5928
