 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 1 1 0
 3 7 1 4 1
 4 11 1 9 2
 5 13 1 13 2
 6 18 2 18 3
 7 20 2 24 4
 8 22 2 31 5
 9 22 2 37 6
 10 22 2 43 7
 11 24 2 48 8
 12 24 2 55 9
 13 24 3 61 10
 14 24 3 69 11
 15 26 3 78 12
 16 26 4 84 13
 17 28 4 90 14
 18 29 4 96 15
 19 31 5 100 16
 20 33 5 106 17
 21 35 5 113 18
 22 35 5 119 19
 23 36 5 124 20
 24 36 5 129 21
 25 38 5 135 22
 26 38 5 140 23
 27 39 5 145 24
 28 39 5 150 25
 29 41 5 154 25
 30 42 5 158 25
 31 42 5 160 25
 32 43 5 163 25
 33 45 5 166 25
 34 46 5 169 25
 35 46 5 173 25
 36 47 5 177 25
 37 48 5 180 25
 38 48 5 183 25
 39 49 5 186 25
 40 49 5 190 25
 41 49 5 193 25
 42 50 5 194 25
 43 50 5 196 25
 44 51 5 198 25
 45 51 5 199 25
 46 52 5 201 25
 47 53 5 206 25
 48 53 5 211 25
 49 54 5 215 25
 50 54 5 218 25
 51 54 5 221 25
 52 54 5 223 25
 53 55 5 224 25
 54 57 5 225 25
 55 57 5 227 25
 56 59 5 227 25
 57 61 5 227 25
 58 61 5 228 25
 59 64 5 228 25
 60 65 6 229 25
 61 66 6 230 25
 62 67 7 232 25
 63 67 7 233 25
 64 68 7 234 25
 65 68 8 235 25
 66 70 8 237 25
 67 72 10 238 25
 68 75 10 239 25
 69 76 10 241 25
 70 76 10 242 25
 71 78 10 244 25
 72 79 10 245 25
 73 81 10 246 25
 74 81 10 248 25
 75 83 10 252 25
 76 83 10 255 25
 77 85 11 257 25
 78 85 11 259 25
 79 88 10 261 25
 80 88 10 263 25
 81 89 10 266 25
 82 90 10 268 25
 83 91 11 271 25
 84 91 11 273 25
 85 91 11 275 25
 86 91 11 277 25
 87 93 11 279 25
 88 94 12 280 25
 89 94 12 281 25
 90 95 13 282 25
 91 95 14 282 25
 92 98 14 281 25
 93 100 15 281 25
 94 101 15 281 25
 95 101 16 281 25
 96 102 16 281 25
 97 102 16 281 25
 98 102 16 282 25
 99 102 16 283 25
 100 102 16 284 25
