 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 0 1 0
 3 4 0 5 1
 4 7 0 9 2
 5 9 0 15 3
 6 9 0 23 4
 7 9 0 30 5
 8 10 0 37 6
 9 11 0 44 7
 10 13 0 51 8
 11 15 0 58 9
 12 15 0 65 10
 13 18 0 73 11
 14 23 0 81 11
 15 24 1 88 11
 16 28 1 94 11
 17 30 1 101 11
 18 33 1 108 12
 19 37 2 114 12
 20 37 2 117 12
 21 38 2 121 12
 22 40 2 125 12
 23 40 2 129 12
 24 42 2 135 13
 25 42 2 141 14
 26 44 3 147 15
 27 46 3 152 16
 28 47 3 158 17
 29 47 4 162 18
 30 50 4 169 19
 31 51 4 175 20
 32 51 4 180 21
 33 52 4 186 22
 34 53 4 192 23
 35 54 4 199 24
 36 55 4 206 25
 37 55 5 214 26
 38 55 5 221 27
 39 57 5 227 28
 40 57 5 232 29
 41 58 6 236 29
 42 58 6 238 29
 43 59 6 241 29
 44 61 7 243 29
 45 63 7 245 29
 46 63 7 246 29
 47 63 7 248 29
 48 64 7 250 29
 49 65 7 252 29
 50 66 7 254 29
 51 66 7 256 29
 52 67 7 257 29
 53 67 8 259 29
 54 67 8 260 30
 55 67 8 262 31
 56 68 8 263 32
 57 68 8 264 33
 58 68 8 265 34
 59 68 8 266 34
 60 69 8 266 34
 61 69 8 267 34
 62 72 8 268 34
 63 74 8 269 34
 64 75 8 270 34
 65 77 8 271 34
 66 78 8 271 34
 67 82 8 272 34
 68 82 8 273 34
 69 83 8 274 34
 70 84 8 274 34
 71 86 8 274 34
 72 88 8 274 34
 73 89 8 274 34
 74 90 8 274 34
 75 91 8 274 34
 76 92 9 274 34
 77 94 9 274 34
 78 94 9 275 34
 79 96 9 276 34
 80 97 9 276 34
 81 97 9 275 34
 82 98 9 275 34
 83 100 10 275 34
 84 100 10 275 34
 85 102 11 275 34
 86 103 11 275 34
 87 104 11 276 34
 88 106 13 276 34
 89 106 13 276 34
 90 106 14 276 34
 91 106 14 276 34
 92 108 14 276 34
 93 108 14 277 34
 94 108 14 277 34
 95 110 14 277 34
 96 110 14 277 34
 97 112 14 277 34
 98 112 14 279 34
 99 113 14 281 34
 100 115 14 281 34
