 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 5 1 2 0
 3 8 2 9 0
 4 10 2 16 0
 5 13 3 23 0
 6 15 3 30 0
 7 17 3 37 1
 8 18 3 43 1
 9 20 3 49 2
 10 25 3 56 3
 11 26 3 63 4
 12 29 3 71 5
 13 30 3 79 5
 14 30 3 87 5
 15 33 3 94 6
 16 33 3 101 7
 17 33 3 107 8
 18 35 3 114 9
 19 35 4 120 10
 20 35 4 126 11
 21 35 4 130 12
 22 38 5 135 12
 23 39 5 140 12
 24 40 5 145 12
 25 43 5 150 12
 26 43 5 155 12
 27 45 5 160 12
 28 45 5 162 12
 29 45 5 164 12
 30 47 5 166 13
 31 47 5 168 14
 32 47 6 170 15
 33 48 6 172 15
 34 49 7 173 16
 35 50 7 175 16
 36 51 7 176 17
 37 51 7 177 18
 38 53 7 178 18
 39 53 7 180 18
 40 54 7 181 19
 41 56 7 183 20
 42 59 7 186 21
 43 60 7 188 21
 44 63 7 190 22
 45 63 8 192 22
 46 65 8 195 23
 47 67 8 197 24
 48 69 8 200 25
 49 70 8 201 26
 50 71 8 201 27
 51 71 8 202 28
 52 71 9 202 29
 53 72 9 202 30
 54 73 9 202 31
 55 73 9 202 32
 56 77 9 202 31
 57 77 10 202 31
 58 79 10 202 32
 59 80 10 204 32
 60 82 10 205 32
 61 84 10 205 32
 62 87 10 205 32
 63 87 10 205 32
 64 87 10 205 32
 65 90 11 205 32
 66 92 11 205 32
 67 92 11 206 32
 68 94 11 206 32
 69 94 11 207 32
 70 95 11 208 32
 71 96 11 210 32
 72 96 11 212 32
 73 98 11 212 32
 74 99 11 212 32
 75 99 11 213 33
 76 99 11 215 34
 77 99 11 217 35
 78 101 11 219 36
 79 101 11 222 37
 80 103 11 224 38
 81 104 11 225 39
 82 105 11 226 39
 83 106 11 227 39
 84 106 11 228 39
 85 107 11 228 39
 86 108 11 228 39
 87 108 11 228 39
 88 108 11 228 39
 89 108 11 228 39
 90 110 11 228 39
 91 110 11 228 39
 92 110 11 228 39
 93 110 11 229 39
 94 110 11 229 39
 95 110 11 229 39
 96 110 11 229 39
 97 110 11 228 39
 98 111 11 228 39
 99 111 11 229 39
 100 112 11 229 39
