 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 2 1 0 0
 3 4 1 2 1
 4 4 1 2 1
 5 5 1 3 1
 6 7 1 4 1
 7 8 1 5 1
 8 8 1 6 1
 9 9 1 6 1
 10 10 1 6 1
 11 12 1 6 1
 12 12 1 7 1
 13 14 1 7 1
 14 14 1 7 1
 15 14 1 7 1
 16 14 1 7 1
 17 15 1 7 1
 18 16 1 7 1
 19 16 1 7 1
 20 16 1 8 1
 21 16 1 8 1
 22 17 1 8 1
 23 17 1 8 1
 24 17 1 8 1
 25 19 1 8 1
 26 19 1 8 1
 27 19 1 8 1
 28 19 1 8 1
 29 19 2 8 1
 30 19 2 8 1
 31 19 2 8 1
 32 19 2 9 1
 33 19 2 9 1
 34 19 2 9 1
 35 19 2 9 1
 36 19 2 9 1
 37 20 2 9 1
 38 21 2 9 1
 39 22 2 9 1
 40 22 2 9 1
 41 22 2 9 1
 42 22 2 9 1
 43 22 2 9 1
 44 23 2 9 1
 45 24 2 9 1
 46 24 2 9 1
 47 25 2 10 1
 48 25 2 10 1
 49 25 2 10 1
 50 25 2 10 1
 51 25 2 10 1
 52 25 2 11 1
 53 25 2 11 1
 54 25 2 11 1
 55 25 2 11 1
 56 25 2 11 1
 57 25 2 11 1
 58 26 2 11 1
 59 26 3 11 1
 60 26 3 12 1
 61 26 3 12 1
 62 27 4 12 1
 63 28 4 12 1
 64 28 4 12 1
 65 29 4 12 1
 66 30 4 12 1
 67 30 4 12 1
 68 30 4 12 1
 69 30 4 12 2
 70 30 4 12 2
 71 30 4 12 2
 72 30 4 12 2
 73 30 4 12 2
 74 31 4 12 2
 75 31 4 12 2
 76 31 4 12 2
 77 31 4 12 2
 78 30 4 12 2
 79 30 4 12 2
 80 30 4 12 2
 81 30 4 12 2
 82 31 4 12 2
 83 31 4 13 2
 84 31 4 13 2
 85 31 4 13 2
 86 31 4 13 2
 87 31 4 13 2
 88 32 4 13 2
 89 33 4 13 2
 90 33 4 13 2
 91 34 4 13 2
 92 34 4 13 2
 93 35 4 13 2
 94 35 4 13 2
 95 36 4 13 2
 96 36 4 13 2
 97 36 4 13 2
 98 37 4 13 2
 99 37 4 13 2
 100 37 4 13 2
