 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 0 0
 4 5 0 0 0
 5 5 0 0 0
 6 8 0 0 0
 7 9 0 1 0
 8 10 0 2 0
 9 12 0 2 0
 10 13 0 3 0
 11 14 0 3 1
 12 14 0 3 2
 13 15 0 3 2
 14 17 0 3 2
 15 17 0 3 2
 16 17 0 3 2
 17 18 0 3 2
 18 19 0 3 2
 19 19 0 3 2
 20 19 0 3 2
 21 19 0 3 2
 22 19 0 3 2
 23 19 0 4 2
 24 20 0 6 2
 25 20 0 6 2
 26 20 0 6 2
 27 21 0 7 2
 28 21 0 7 2
 29 22 0 7 2
 30 22 0 7 2
 31 24 0 7 2
 32 24 0 7 2
 33 25 0 8 2
 34 25 0 8 2
 35 25 0 8 2
 36 25 0 8 2
 37 25 0 9 2
 38 25 0 10 2
 39 25 0 11 2
 40 25 0 11 2
 41 26 0 11 2
 42 26 0 11 2
 43 26 0 11 2
 44 26 0 11 2
 45 26 0 11 2
 46 26 0 12 2
 47 26 0 12 2
 48 27 0 12 2
 49 28 0 12 2
 50 28 0 12 2
 51 29 0 12 2
 52 29 0 12 2
 53 30 0 12 2
 54 31 0 12 2
 55 31 0 12 2
 56 31 0 12 2
 57 31 0 12 2
 58 31 0 13 2
 59 31 0 13 2
 60 31 0 13 2
 61 31 0 13 2
 62 31 0 13 2
 63 31 0 13 2
 64 31 0 14 2
 65 31 0 14 2
 66 31 0 14 2
 67 31 0 14 2
 68 31 0 14 2
 69 31 0 14 2
 70 31 0 14 2
 71 31 0 14 2
 72 31 0 14 2
 73 31 0 14 2
 74 31 0 14 2
 75 31 0 14 2
 76 31 0 14 2
 77 31 0 14 2
 78 31 0 14 2
 79 31 0 14 2
 80 31 0 14 2
 81 31 0 14 2
 82 31 0 14 2
 83 31 0 15 2
 84 31 0 15 2
 85 31 0 15 2
 86 31 0 15 2
 87 31 0 15 2
 88 31 0 15 2
 89 31 0 15 2
 90 31 0 15 2
 91 31 0 16 2
 92 31 0 17 2
 93 31 0 17 2
 94 32 0 17 2
 95 32 0 17 2
 96 32 0 17 2
 97 32 0 17 2
 98 32 0 17 2
 99 32 0 17 2
 100 32 0 17 2
