 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 2 0 0 0
 3 3 0 0 0
 4 4 0 0 0
 5 6 1 2 0
 6 6 1 4 0
 7 8 2 5 0
 8 8 2 7 0
 9 9 2 7 0
 10 10 2 8 0
 11 10 2 9 0
 12 11 3 9 0
 13 11 3 9 0
 14 11 3 10 0
 15 11 4 11 0
 16 11 4 12 0
 17 13 4 12 0
 18 13 4 12 0
 19 13 5 12 0
 20 13 5 13 0
 21 13 5 14 0
 22 14 5 14 0
 23 14 5 14 0
 24 15 5 15 0
 25 16 5 15 0
 26 17 5 15 0
 27 18 5 15 0
 28 18 5 15 0
 29 18 5 15 0
 30 18 5 15 0
 31 18 5 15 0
 32 18 5 15 0
 33 18 5 15 0
 34 18 5 15 0
 35 18 5 16 0
 36 18 5 16 0
 37 18 5 16 0
 38 18 5 18 0
 39 18 6 18 0
 40 18 6 18 0
 41 18 6 18 0
 42 18 6 18 0
 43 18 6 18 0
 44 18 6 18 0
 45 18 7 18 0
 46 19 7 19 0
 47 19 7 19 0
 48 19 7 19 0
 49 19 7 19 0
 50 19 7 19 0
 51 19 7 19 0
 52 19 7 19 0
 53 19 7 19 0
 54 19 7 19 0
 55 19 7 19 0
 56 20 7 19 0
 57 20 7 19 0
 58 20 7 19 0
 59 20 7 19 0
 60 20 7 19 0
 61 21 7 19 0
 62 21 7 20 0
 63 21 7 20 0
 64 21 7 20 0
 65 21 7 20 0
 66 21 7 20 0
 67 21 7 20 0
 68 22 7 20 0
 69 22 8 21 0
 70 22 8 21 0
 71 23 8 21 0
 72 23 8 21 0
 73 23 8 21 0
 74 23 8 22 0
 75 23 8 22 0
 76 23 8 22 0
 77 23 8 22 0
 78 23 8 22 0
 79 23 8 22 0
 80 23 8 22 0
 81 23 9 22 0
 82 23 9 22 0
 83 24 9 22 0
 84 24 9 22 0
 85 24 9 23 0
 86 24 9 23 0
 87 24 9 23 0
 88 24 9 23 0
 89 24 9 23 0
 90 24 9 23 0
 91 24 9 24 0
 92 24 9 24 0
 93 24 9 24 0
 94 24 9 24 0
 95 24 9 24 0
 96 24 9 24 0
 97 24 9 24 0
 98 24 9 24 0
 99 24 9 24 0
 100 25 9 24 0
