SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,1,1,1,1,1,1,1,1
20,0.65875,0.52875,0.6925,0.575,0.63375,0.555,0.61625,0.525
50,0.6002,0.5344,0.5616,0.5354,0.6186,0.5428,0.5758,0.5354
100,0.56495,0.53,0.56315,0.51935,0.59165,0.5454,0.56115,0.51185
250,0.56928,0.51948,0.536168,0.511616,0.56756,0.524648,0.546288,0.522112
500,0.567648,0.530896,0.533492,0.509758,0.53055,0.508,0.528974,0.510806
