 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 1 0
 3 2 0 2 1
 4 4 0 2 1
 5 4 1 3 1
 6 5 1 4 1
 7 6 1 5 1
 8 7 1 6 1
 9 7 1 7 1
 10 7 1 7 1
 11 9 1 7 1
 12 9 1 8 1
 13 9 1 8 1
 14 9 1 8 1
 15 9 1 8 1
 16 9 1 8 1
 17 13 1 8 1
 18 13 1 8 2
 19 13 1 8 2
 20 15 1 8 2
 21 15 1 9 2
 22 16 1 9 2
 23 16 1 10 2
 24 16 1 10 2
 25 16 1 10 2
 26 16 1 11 2
 27 16 1 11 2
 28 16 1 11 2
 29 16 1 11 2
 30 16 1 11 2
 31 17 1 11 2
 32 17 1 11 2
 33 17 1 11 2
 34 17 1 11 2
 35 17 1 11 2
 36 18 1 11 2
 37 19 1 11 2
 38 20 1 11 2
 39 21 1 11 2
 40 21 1 11 2
 41 22 1 11 2
 42 22 1 11 2
 43 22 1 11 2
 44 23 1 12 2
 45 25 1 12 2
 46 27 1 12 2
 47 27 1 12 2
 48 28 1 12 2
 49 28 1 12 2
 50 28 1 12 2
 51 28 1 12 2
 52 28 1 12 2
 53 28 1 12 2
 54 28 1 12 2
 55 28 1 12 2
 56 28 1 12 2
 57 31 1 12 2
 58 31 1 12 2
 59 32 1 12 2
 60 32 1 12 2
 61 33 1 12 2
 62 33 1 12 2
 63 33 1 12 2
 64 33 1 12 2
 65 33 1 12 2
 66 34 1 12 2
 67 34 1 12 2
 68 34 1 12 2
 69 34 1 12 2
 70 34 1 12 2
 71 34 1 12 2
 72 34 1 12 2
 73 34 1 12 2
 74 34 1 12 2
 75 34 1 12 2
 76 34 1 12 2
 77 34 1 12 2
 78 34 1 12 2
 79 35 1 12 2
 80 35 1 12 2
 81 35 2 12 2
 82 35 2 12 2
 83 35 2 12 2
 84 35 2 12 2
 85 35 2 12 2
 86 35 2 12 2
 87 36 2 13 2
 88 36 2 13 2
 89 37 2 13 2
 90 37 2 13 2
 91 37 2 13 2
 92 37 2 13 2
 93 38 2 13 2
 94 38 2 13 2
 95 38 2 13 2
 96 38 2 13 2
 97 38 2 13 2
 98 38 2 13 2
 99 38 2 13 2
 100 38 2 13 2
