 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 2 0 1 0
 3 3 0 2 1
 4 4 1 3 1
 5 5 1 3 1
 6 5 1 4 1
 7 6 1 6 1
 8 7 1 7 1
 9 7 2 8 1
 10 8 2 8 1
 11 8 2 8 1
 12 8 2 9 1
 13 8 2 9 1
 14 8 2 9 1
 15 8 2 9 1
 16 8 2 9 1
 17 9 2 9 1
 18 9 2 9 1
 19 9 2 9 1
 20 12 2 9 1
 21 12 2 9 1
 22 12 2 9 1
 23 13 2 9 1
 24 14 2 10 1
 25 14 2 10 1
 26 14 2 10 1
 27 15 2 11 1
 28 15 2 11 1
 29 16 2 11 1
 30 17 2 12 1
 31 17 2 13 1
 32 17 2 13 1
 33 17 2 13 1
 34 17 2 13 1
 35 18 2 13 1
 36 18 2 13 1
 37 18 2 13 1
 38 18 2 13 1
 39 18 2 13 1
 40 18 2 13 1
 41 18 2 13 1
 42 18 2 14 2
 43 18 2 14 2
 44 18 2 14 2
 45 18 2 14 2
 46 18 2 14 2
 47 18 2 14 2
 48 19 2 14 3
 49 19 2 14 3
 50 19 2 14 3
 51 19 2 14 3
 52 19 2 14 3
 53 19 2 14 3
 54 19 2 15 3
 55 19 2 15 3
 56 19 2 15 3
 57 19 2 15 3
 58 19 2 15 3
 59 19 2 15 3
 60 19 2 15 3
 61 19 2 15 3
 62 19 2 15 3
 63 19 2 15 3
 64 19 2 15 3
 65 19 2 15 3
 66 19 2 15 3
 67 19 2 15 3
 68 19 2 15 3
 69 19 2 15 3
 70 19 2 16 3
 71 19 2 16 3
 72 19 2 16 3
 73 19 2 16 3
 74 19 2 16 3
 75 19 2 16 3
 76 19 2 16 3
 77 19 2 16 3
 78 19 2 16 3
 79 19 2 16 3
 80 19 2 16 3
 81 19 2 16 3
 82 19 2 16 3
 83 19 2 16 3
 84 19 2 16 3
 85 19 2 16 3
 86 19 2 16 3
 87 19 2 16 3
 88 19 2 16 3
 89 19 2 16 3
 90 19 2 16 3
 91 19 2 16 3
 92 19 2 16 3
 93 19 2 16 3
 94 19 2 16 3
 95 19 2 16 3
 96 19 2 16 3
 97 19 2 16 3
 98 19 2 16 3
 99 19 2 16 3
 100 20 2 16 3
