SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
1,1,8,2,3,3
1,2,11,1,6,0
1,3,7,2,6,0
1,4,6,2,5,0
1,5,7,3,8,0
1,6,8,1,7,0
1,7,8,1,10,1
1,8,8,0,9,0
1,9,6,3,9,0
1,10,6,2,4,0
1,11,7,0,11,0
1,12,11,1,4,1
1,13,11,1,7,2
1,14,6,0,8,0
1,15,7,1,8,1
1,16,8,1,4,0
1,17,13,0,4,0
1,18,10,0,10,1
1,19,13,1,10,0
1,20,11,0,8,0
20,1,8,2,3,3
20,1,15,1,4,0
20,1,5,1,10,0
20,1,12,1,3,1
20,1,13,0,4,0
20,1,10,1,12,0
20,1,15,1,7,0
20,1,12,3,6,0
20,1,10,2,6,0
20,1,4,2,15,1
20,1,10,0,10,4
20,1,9,1,7,0
20,1,3,2,8,0
20,1,8,2,10,1
20,1,7,1,7,0
20,1,10,3,6,0
20,1,12,0,9,1
20,1,4,0,6,0
20,1,12,1,7,0
20,1,7,1,8,2
20,2,11,1,6,0
20,2,8,1,8,1
20,2,10,1,5,1
20,2,8,0,9,0
20,2,9,0,9,0
20,2,10,0,3,1
20,2,9,1,6,2
20,2,7,0,8,0
20,2,9,2,4,0
20,2,9,3,9,0
20,2,7,2,8,0
20,2,7,2,6,0
20,2,7,2,4,0
20,2,8,0,6,0
20,2,11,1,6,0
20,2,12,0,6,0
20,2,10,0,4,2
20,2,8,2,7,1
20,2,13,2,4,0
20,2,12,0,3,1
20,3,7,2,6,0
20,3,5,2,1,2
20,3,7,0,7,0
20,3,10,0,6,1
20,3,6,2,11,0
20,3,9,2,7,0
20,3,7,3,4,0
20,3,6,0,5,1
20,3,8,3,9,1
20,3,6,1,6,1
20,3,12,2,6,1
20,3,11,1,5,2
20,3,9,1,5,0
20,3,11,1,13,1
20,3,7,1,7,1
20,3,8,0,10,1
20,3,5,1,12,0
20,3,6,1,4,0
20,3,5,1,1,1
20,3,8,0,8,0
20,4,6,2,5,0
20,4,8,0,5,0
20,4,8,2,5,0
20,4,11,0,5,1
20,4,11,2,6,0
20,4,7,0,0,0
20,4,14,1,11,2
20,4,8,3,8,0
20,4,11,0,6,0
20,4,10,1,4,0
20,4,4,1,9,1
20,4,9,3,9,0
20,4,9,1,12,0
20,4,8,0,6,2
20,4,12,0,3,0
20,4,9,1,8,1
20,4,9,2,7,2
20,4,6,1,4,1
20,4,7,2,7,0
20,4,6,2,11,0
20,5,7,3,8,0
20,5,11,0,6,1
20,5,12,0,6,1
20,5,6,2,3,3
20,5,10,5,7,0
20,5,6,0,10,1
20,5,8,3,10,0
20,5,10,0,4,3
