 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 1 0
 4 3 0 2 0
 5 4 0 3 1
 6 5 0 4 1
 7 6 0 4 1
 8 6 0 5 1
 9 7 0 6 1
 10 8 1 7 1
 11 8 1 8 1
 12 8 1 9 1
 13 10 1 10 1
 14 11 1 10 1
 15 14 2 10 2
 16 14 2 10 2
 17 15 2 10 2
 18 16 2 10 2
 19 17 2 11 2
 20 19 2 12 2
 21 19 2 13 2
 22 19 2 13 2
 23 19 2 13 2
 24 19 2 13 2
 25 19 2 13 2
 26 19 2 14 2
 27 19 2 14 2
 28 20 2 14 2
 29 21 2 15 2
 30 22 2 16 2
 31 22 2 16 2
 32 22 2 16 2
 33 22 2 16 2
 34 22 2 16 2
 35 22 2 16 2
 36 23 2 16 2
 37 23 2 16 2
 38 23 2 16 2
 39 24 2 16 2
 40 24 2 16 2
 41 25 2 16 2
 42 26 2 17 2
 43 26 2 17 2
 44 27 2 18 2
 45 27 2 18 2
 46 27 2 18 2
 47 28 2 18 2
 48 28 2 18 2
 49 29 2 18 2
 50 30 2 18 2
 51 30 2 18 2
 52 30 2 18 2
 53 31 2 18 2
 54 31 2 18 2
 55 31 2 18 2
 56 33 2 18 2
 57 33 2 18 2
 58 33 2 18 2
 59 34 2 18 2
 60 34 2 18 2
 61 34 2 18 2
 62 35 2 18 2
 63 35 2 18 2
 64 35 2 18 2
 65 35 2 18 2
 66 35 2 18 2
 67 35 2 18 2
 68 35 2 18 2
 69 35 2 18 2
 70 36 2 18 2
 71 36 2 18 2
 72 36 2 18 2
 73 37 2 18 2
 74 37 2 18 2
 75 37 2 18 2
 76 37 2 18 2
 77 37 2 18 2
 78 37 2 18 2
 79 37 2 18 2
 80 37 2 18 2
 81 37 2 18 2
 82 37 2 18 2
 83 37 2 18 2
 84 37 2 18 2
 85 37 2 18 2
 86 37 2 18 2
 87 37 2 18 2
 88 38 2 18 2
 89 38 2 18 2
 90 38 2 18 2
 91 38 2 18 2
 92 38 2 18 2
 93 38 3 18 2
 94 38 3 18 2
 95 38 3 18 2
 96 38 3 18 2
 97 38 3 18 2
 98 38 3 18 2
 99 38 3 18 2
 100 39 3 18 2
