 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 3 0 0 0
 4 4 0 1 0
 5 5 0 2 0
 6 5 0 2 0
 7 6 0 6 0
 8 6 1 8 0
 9 7 1 8 0
 10 8 2 9 0
 11 8 2 10 0
 12 8 3 11 0
 13 8 4 11 0
 14 9 5 11 0
 15 9 5 12 0
 16 9 5 13 0
 17 9 5 13 0
 18 9 5 13 0
 19 9 5 13 0
 20 9 5 13 0
 21 9 5 13 0
 22 9 5 13 0
 23 9 6 13 0
 24 10 6 13 0
 25 10 6 13 0
 26 10 6 13 0
 27 10 6 14 0
 28 10 6 15 0
 29 10 6 16 0
 30 11 6 16 0
 31 11 6 16 0
 32 11 6 16 0
 33 13 6 16 0
 34 13 6 16 0
 35 15 6 16 0
 36 16 6 16 0
 37 17 6 16 0
 38 17 6 16 0
 39 18 6 16 0
 40 18 6 16 0
 41 18 6 17 0
 42 18 6 18 0
 43 19 6 18 0
 44 19 6 18 0
 45 19 6 18 0
 46 19 6 18 0
 47 19 6 18 0
 48 19 6 18 0
 49 19 6 18 0
 50 19 6 18 0
 51 19 6 18 0
 52 19 6 18 0
 53 19 6 18 0
 54 19 6 18 0
 55 19 6 19 0
 56 19 6 19 0
 57 19 6 19 0
 58 19 6 19 0
 59 19 6 19 0
 60 19 6 19 0
 61 19 6 19 0
 62 19 6 19 0
 63 19 6 19 0
 64 19 6 19 0
 65 19 6 19 0
 66 19 6 19 0
 67 19 7 19 0
 68 20 7 19 0
 69 20 7 19 0
 70 20 7 19 0
 71 20 7 19 0
 72 20 7 19 0
 73 20 7 19 0
 74 20 7 20 0
 75 20 7 20 0
 76 20 7 20 0
 77 21 7 20 0
 78 21 7 20 0
 79 21 7 20 0
 80 21 7 20 0
 81 21 7 20 0
 82 21 7 20 0
 83 22 7 20 0
 84 23 7 20 0
 85 23 7 20 0
 86 23 7 20 0
 87 23 7 20 0
 88 23 7 20 0
 89 23 7 20 0
 90 23 7 20 0
 91 23 7 20 0
 92 23 7 20 0
 93 23 7 20 0
 94 23 7 20 0
 95 24 7 21 0
 96 24 7 22 0
 97 24 7 22 0
 98 24 7 22 0
 99 24 7 22 0
 100 24 7 22 0
