Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
1,2,0,1,1,1,0,1,1,1
1,3,1,1,0.5,0.5,0,1,1,1
1,4,1,1,0.5,0.5,0,1,1,1
1,5,1,1,0,1,0,1,1,1
1,6,0.5,0.5,1,1,0,1,1,1
1,7,0.5,0.5,1,1,0,1,1,1
1,8,0.5,0.5,1,1,0,1,1,1
1,9,1,1,0,1,0,1,1,1
1,10,1,1,0.5,0.5,0,1,1,1
1,11,1,1,1,1,0,1,1,1
1,12,0,1,1,1,0,1,1,1
1,13,0,1,1,1,0,1,1,1
1,14,1,1,1,1,0,1,1,1
1,15,1,1,1,1,0,1,1,1
1,16,0.5,0.5,1,1,0,1,1,1
1,17,0,1,1,1,0,1,1,1
1,18,0,1,1,1,0,1,1,1
1,19,0,1,1,1,0,1,1,1
1,20,0,1,1,1,0,1,1,1
20,2,0.52875,0.52875,0.57375,0.57375,0.63375,0.63375,0.51375,0.51375
20,3,0.65875,0.65875,0.51625,0.51625,0.57125,0.57125,0.42875,0.57125
20,4,0.5775,0.5775,0.515,0.515,0.57375,0.57375,0.5075,0.5075
20,5,0.52,0.52,0.47625,0.52375,0.58875,0.58875,0.47625,0.52375
20,6,0.48875,0.51125,0.57625,0.57625,0.44125,0.55875,0.415,0.585
20,7,0.475,0.525,0.58625,0.58625,0.445,0.555,0.38375,0.61625
20,8,0.55625,0.55625,0.66875,0.66875,0.51625,0.51625,0.5075,0.5075
20,9,0.49625,0.50375,0.475,0.525,0.5425,0.5425,0.51375,0.51375
20,10,0.5275,0.5275,0.6925,0.6925,0.46375,0.53625,0.51375,0.51375
20,11,0.5125,0.5125,0.55,0.55,0.46875,0.53125,0.51375,0.51375
20,12,0.5425,0.5425,0.48,0.52,0.505,0.505,0.505,0.505
20,13,0.535,0.535,0.585,0.585,0.54625,0.54625,0.42625,0.57375
20,14,0.51,0.51,0.67625,0.67625,0.555,0.555,0.42625,0.57375
