 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 0 0 0
 3 5 0 0 0
 4 8 0 1 1
 5 10 0 2 1
 6 11 1 2 1
 7 12 1 2 1
 8 12 1 2 1
 9 12 1 3 1
 10 12 1 3 1
 11 13 1 3 1
 12 14 1 4 1
 13 14 1 5 1
 14 15 2 5 1
 15 15 2 5 1
 16 15 2 6 1
 17 16 2 6 1
 18 16 2 6 1
 19 16 2 6 1
 20 17 2 6 1
 21 17 2 6 1
 22 17 2 6 1
 23 18 2 6 1
 24 19 2 6 1
 25 19 2 7 1
 26 19 2 7 1
 27 20 2 8 1
 28 20 2 8 1
 29 21 2 8 1
 30 21 2 8 1
 31 21 2 8 1
 32 22 2 8 1
 33 22 2 8 1
 34 22 3 8 1
 35 22 3 8 1
 36 22 3 8 1
 37 22 3 8 1
 38 22 3 9 1
 39 22 3 9 1
 40 22 3 9 1
 41 23 3 9 1
 42 23 4 9 1
 43 24 4 10 1
 44 24 4 10 1
 45 24 4 10 1
 46 24 4 10 1
 47 25 4 10 1
 48 25 4 10 1
 49 25 4 10 1
 50 25 4 10 1
 51 25 4 10 1
 52 26 4 10 1
 53 26 4 10 1
 54 26 4 10 1
 55 26 5 10 1
 56 26 5 10 1
 57 27 5 10 1
 58 27 5 10 1
 59 27 5 10 1
 60 27 5 10 1
 61 28 5 10 1
 62 28 5 10 2
 63 28 5 10 2
 64 29 5 10 2
 65 29 5 10 2
 66 29 5 11 2
 67 29 5 12 2
 68 29 5 12 2
 69 29 6 12 2
 70 29 6 12 2
 71 29 6 12 2
 72 29 6 12 2
 73 29 6 12 2
 74 29 6 12 2
 75 30 6 12 2
 76 30 6 12 2
 77 30 6 12 2
 78 30 6 12 2
 79 30 6 12 2
 80 30 6 12 2
 81 30 6 13 2
 82 30 6 13 2
 83 30 6 13 2
 84 30 6 13 2
 85 30 6 13 2
 86 30 6 13 2
 87 30 6 13 2
 88 30 6 13 2
 89 30 6 13 2
 90 30 6 13 2
 91 30 6 13 2
 92 31 7 13 2
 93 31 7 13 2
 94 31 7 13 2
 95 31 7 13 2
 96 31 7 13 2
 97 31 7 13 2
 98 31 7 13 2
 99 31 7 13 2
 100 31 7 13 2
