 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 4 0 2 0
 4 5 0 3 0
 5 5 0 4 0
 6 6 0 6 0
 7 8 0 7 0
 8 8 0 9 0
 9 9 1 10 0
 10 9 1 11 0
 11 10 1 11 0
 12 11 1 11 0
 13 11 1 11 0
 14 13 1 11 0
 15 13 1 11 0
 16 14 1 11 0
 17 15 1 11 0
 18 15 1 11 0
 19 15 1 11 0
 20 15 1 11 0
 21 15 1 12 0
 22 15 1 12 0
 23 15 1 12 0
 24 16 1 12 0
 25 16 1 12 0
 26 16 1 14 0
 27 17 1 14 0
 28 17 1 14 0
 29 17 2 14 0
 30 17 2 15 0
 31 18 2 15 0
 32 18 2 15 0
 33 18 2 16 0
 34 18 2 16 0
 35 19 2 16 0
 36 20 2 16 0
 37 21 2 16 0
 38 21 2 17 0
 39 21 2 17 0
 40 21 2 17 0
 41 22 2 17 0
 42 22 2 17 0
 43 23 2 17 0
 44 23 2 17 0
 45 24 2 17 0
 46 24 2 18 0
 47 24 2 18 0
 48 24 2 19 0
 49 25 2 19 0
 50 26 2 19 0
 51 27 2 19 0
 52 27 2 19 0
 53 27 2 19 0
 54 27 2 19 0
 55 28 2 19 0
 56 28 2 19 0
 57 29 2 19 0
 58 29 3 19 0
 59 29 3 19 0
 60 29 3 19 0
 61 29 3 19 0
 62 29 3 19 0
 63 29 3 20 0
 64 29 3 20 0
 65 29 4 20 0
 66 29 4 20 0
 67 29 4 20 0
 68 29 4 21 0
 69 29 4 21 0
 70 29 4 21 0
 71 29 4 21 0
 72 29 4 21 0
 73 29 4 21 0
 74 29 4 21 0
 75 30 4 21 0
 76 30 4 21 0
 77 29 4 21 0
 78 29 4 21 0
 79 30 4 21 0
 80 30 4 21 0
 81 30 4 21 0
 82 30 4 21 0
 83 30 4 21 0
 84 30 4 21 0
 85 30 4 21 0
 86 31 4 21 0
 87 31 4 21 0
 88 31 4 21 0
 89 31 4 21 0
 90 31 4 21 0
 91 31 4 21 0
 92 31 4 21 0
 93 31 4 21 0
 94 31 4 21 0
 95 31 4 21 0
 96 31 4 21 0
 97 32 4 21 0
 98 32 4 21 0
 99 32 4 21 0
 100 32 5 21 0
