 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 4 0 2 0
 4 5 0 3 0
 5 6 0 4 0
 6 6 1 4 0
 7 7 1 4 0
 8 7 1 4 0
 9 8 2 5 0
 10 8 2 5 0
 11 8 2 5 0
 12 8 3 7 0
 13 8 3 8 0
 14 8 3 8 0
 15 8 3 8 0
 16 8 3 8 0
 17 9 3 8 0
 18 9 3 8 0
 19 9 3 9 0
 20 9 3 9 0
 21 10 3 9 0
 22 10 3 9 0
 23 10 3 10 0
 24 10 3 10 0
 25 10 3 10 0
 26 10 3 10 0
 27 10 3 11 0
 28 10 3 11 0
 29 11 3 11 0
 30 11 3 11 0
 31 11 3 11 0
 32 11 3 11 0
 33 11 3 11 0
 34 11 3 11 0
 35 12 3 12 0
 36 13 3 12 0
 37 13 3 12 0
 38 13 3 13 0
 39 13 3 13 0
 40 13 3 14 0
 41 13 3 14 0
 42 13 3 15 0
 43 13 3 15 0
 44 13 3 15 0
 45 13 3 15 0
 46 13 3 15 0
 47 13 3 15 0
 48 14 3 16 0
 49 14 3 17 0
 50 14 3 18 0
 51 15 3 19 0
 52 15 3 19 0
 53 15 3 19 0
 54 16 3 19 0
 55 16 3 20 0
 56 16 3 20 0
 57 16 3 20 0
 58 16 3 20 0
 59 16 3 20 0
 60 17 3 20 0
 61 17 3 20 0
 62 17 3 20 0
 63 18 3 21 0
 64 18 3 21 0
 65 20 3 21 0
 66 20 3 21 0
 67 20 3 21 0
 68 20 3 21 0
 69 20 3 21 0
 70 20 3 21 0
 71 20 3 21 0
 72 20 3 21 0
 73 20 3 21 0
 74 20 3 21 0
 75 20 3 21 0
 76 20 3 21 0
 77 20 3 21 0
 78 20 3 21 0
 79 20 3 21 0
 80 20 3 21 0
 81 20 3 21 0
 82 19 3 21 0
 83 19 3 21 0
 84 19 3 21 0
 85 19 3 21 0
 86 19 3 21 0
 87 19 3 21 0
 88 19 3 21 0
 89 19 3 21 0
 90 21 3 21 0
 91 22 3 21 0
 92 22 3 21 0
 93 22 3 21 0
 94 22 3 21 0
 95 23 3 22 0
 96 23 3 22 0
 97 23 3 22 0
 98 23 3 22 0
 99 23 3 22 0
 100 23 3 22 0
