SampleSize,sappalphasMaxA,sappalphasMedianA,sappbetasMaxA,sappbetasMedianA,sappalpha_dsMaxA,sappalpha_dsMedianA,sappbeta_dsMaxA,sappbeta_dsMedianA
1,1,1,1,0.5,1,0.5,1,1
20,0.675,0.555,0.57875,0.53375,0.75375,0.63125,0.6,0.575
50,0.5918,0.5338,0.5828,0.5476,0.5928,0.5338,0.55,0.53
100,0.586,0.5455,0.5465,0.5147,0.56365,0.5255,0.53005,0.5152
250,0.554384,0.514992,0.529136,0.513296,0.52476,0.512984,0.521824,0.50788
500,0.561036,0.52525,0.546098,0.517776,0.530128,0.510632,0.516924,0.505946
