 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 2 0
 3 3 0 2 1
 4 3 0 4 1
 5 3 0 4 1
 6 3 0 5 1
 7 3 0 6 1
 8 3 0 7 2
 9 4 0 7 2
 10 5 0 7 2
 11 5 0 7 2
 12 5 0 7 2
 13 5 0 7 2
 14 6 0 8 2
 15 6 0 8 2
 16 7 0 8 2
 17 7 0 9 2
 18 7 0 10 2
 19 7 0 11 2
 20 7 0 11 2
 21 7 0 11 2
 22 7 0 11 2
 23 7 0 11 2
 24 7 0 11 2
 25 7 0 11 2
 26 7 0 11 2
 27 7 0 11 2
 28 7 0 11 2
 29 8 0 11 2
 30 8 0 11 2
 31 8 0 11 2
 32 8 0 11 2
 33 8 0 11 2
 34 8 0 11 2
 35 8 0 11 2
 36 8 0 11 2
 37 8 0 11 2
 38 8 0 12 2
 39 8 0 12 2
 40 8 0 12 2
 41 8 0 12 2
 42 8 0 12 2
 43 8 0 12 2
 44 8 0 12 2
 45 8 0 12 2
 46 8 0 12 2
 47 8 0 12 2
 48 8 0 12 2
 49 8 0 12 2
 50 9 0 12 2
 51 10 0 12 2
 52 10 0 12 2
 53 10 0 12 2
 54 10 0 12 2
 55 11 0 12 2
 56 11 0 12 2
 57 11 0 12 2
 58 11 0 12 2
 59 11 0 12 2
 60 11 0 12 2
 61 11 0 12 2
 62 11 0 12 2
 63 11 0 12 2
 64 11 0 12 2
 65 11 0 12 2
 66 11 0 12 2
 67 11 0 12 2
 68 11 0 12 2
 69 11 0 12 2
 70 11 0 12 2
 71 11 0 12 2
 72 12 0 12 2
 73 12 0 12 2
 74 12 0 12 2
 75 12 0 12 2
 76 12 0 12 2
 77 12 0 12 2
 78 12 0 12 2
 79 12 0 12 2
 80 12 0 12 2
 81 12 0 12 2
 82 12 0 12 2
 83 12 0 12 2
 84 12 0 12 2
 85 12 0 12 2
 86 12 0 12 2
 87 12 0 12 2
 88 12 0 12 2
 89 12 0 12 2
 90 12 0 12 2
 91 12 0 12 2
 92 12 0 12 2
 93 12 0 12 2
 94 13 0 12 2
 95 13 0 12 2
 96 13 0 12 2
 97 14 0 12 2
 98 14 0 12 2
 99 14 0 12 2
 100 14 0 12 2
