 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 3 0 2 0
 3 4 0 7 1
 4 4 0 8 1
 5 5 0 8 1
 6 5 0 8 1
 7 5 0 8 1
 8 6 0 9 1
 9 6 0 9 1
 10 6 0 9 1
 11 6 0 9 1
 12 6 0 9 1
 13 6 0 9 1
 14 6 0 9 1
 15 6 0 9 1
 16 6 0 9 1
 17 6 0 9 1
 18 6 0 10 1
 19 6 0 10 1
 20 6 0 10 1
 21 6 0 11 1
 22 6 0 11 1
 23 6 0 11 1
 24 6 0 11 1
 25 7 0 12 1
 26 7 0 12 1
 27 7 0 12 1
 28 7 0 12 1
 29 7 0 12 1
 30 7 0 12 1
 31 7 0 12 1
 32 8 0 12 1
 33 9 0 12 1
 34 9 0 12 1
 35 9 0 12 1
 36 9 0 12 1
 37 9 0 12 1
 38 9 0 12 1
 39 9 0 12 1
 40 9 0 12 1
 41 9 0 12 1
 42 9 0 12 1
 43 10 0 12 1
 44 10 0 12 1
 45 10 0 12 1
 46 10 0 12 1
 47 10 0 12 1
 48 10 0 12 1
 49 10 0 12 1
 50 10 0 12 1
 51 10 0 12 1
 52 11 0 12 1
 53 11 0 12 1
 54 11 0 12 1
 55 11 0 12 1
 56 11 0 12 1
 57 11 0 12 1
 58 11 0 12 1
 59 11 0 12 1
 60 11 0 12 1
 61 11 0 12 1
 62 11 0 12 1
 63 11 0 12 1
 64 11 0 12 1
 65 11 0 12 1
 66 11 0 12 1
 67 11 0 12 1
 68 11 0 12 1
 69 11 0 12 1
 70 11 0 12 1
 71 11 0 12 1
 72 11 0 12 1
 73 11 0 12 1
 74 11 0 12 1
 75 11 0 12 1
 76 12 0 12 1
 77 12 0 12 1
 78 12 0 12 1
 79 12 0 12 1
 80 12 0 12 1
 81 13 0 12 1
 82 13 0 12 1
 83 13 0 12 1
 84 13 0 12 1
 85 13 0 12 1
 86 13 0 12 1
 87 13 0 12 1
 88 13 0 12 1
 89 13 0 12 1
 90 13 0 12 1
 91 13 0 12 1
 92 13 0 12 1
 93 13 0 12 1
 94 13 0 12 1
 95 13 0 12 1
 96 13 0 12 1
 97 13 0 12 1
 98 13 0 12 1
 99 13 0 12 1
 100 14 0 12 1
